Panel,Panel_Description,Group,Valid_Observations,Excluded_Observations,Exclusion_Rate_%,Scatter_Color,Data_Available
A,Ventricular Burden vs Age (All Participants),HC,992,8,0.80%,#2ca02c,Yes
A,Ventricular Burden vs Age (All Participants),MS,380,1,0.30%,#ff7f0e,Yes
B,Total Lesion Burden vs Age (All Participants),HC,992,8,0.80%,#2ca02c,Yes
B,Total Lesion Burden vs Age (All Participants),MS,380,1,0.30%,#ff7f0e,Yes
C,Ventricular Burden vs Age (Female),HC,668,5,0.70%,#2ca02c,Yes
C,Ventricular Burden vs Age (Female),MS,272,1,0.40%,#ff7f0e,Yes
D,Total Lesion Burden vs Age (Female),HC,668,5,0.70%,#2ca02c,Yes
D,Total Lesion Burden vs Age (Female),MS,272,1,0.40%,#ff7f0e,Yes
E,Ventricular Burden vs Age (Male),HC,324,3,0.90%,#2ca02c,Yes
E,Ventricular Burden vs Age (Male),MS,109,0,0.00%,#ff7f0e,Yes
F,Total Lesion Burden vs Age (Male),HC,324,3,0.90%,#2ca02c,Yes
F,Total Lesion Burden vs Age (Male),MS,109,0,0.00%,#ff7f0e,Yes
