Panel,Measure,Group,N,Ratio_Mean,Ratio_SD,Ratio_Median,Ratio_Q25,Ratio_Q75,Ratio_IQR,Ratio_Min,Ratio_Max,Ratio_Range,Log_Scale_Used
A,VentricleRatio,HC,1000,0.429,0.186,0.409,0.31,0.525,0.215,0.051,2.078,2.027,FALSE
A,VentricleRatio,MS,381,0.418,0.234,0.371,0.3,0.477,0.177,0.029,2.972,2.943,FALSE
B,WMHRatio,HC,1000,0.017,0.022,0.01,0.003,0.024,0.022,0,0.182,0.182,TRUE
B,WMHRatio,MS,381,0.272,0.454,0.099,0.025,0.304,0.279,0,4.005,4.005,TRUE
C,VentricleRatio,HC,668,0.435,0.187,0.418,0.318,0.528,0.21,0.051,2.078,2.027,FALSE
C,VentricleRatio,MS,272,0.41,0.252,0.359,0.296,0.456,0.16,0.029,2.972,2.943,FALSE
D,WMHRatio,HC,668,0.013,0.016,0.008,0.002,0.018,0.017,0,0.123,0.123,TRUE
D,WMHRatio,MS,272,0.264,0.472,0.093,0.021,0.288,0.267,0,4.005,4.005,TRUE
E,VentricleRatio,HC,324,0.416,0.183,0.396,0.287,0.516,0.229,0.093,1.385,1.293,FALSE
E,VentricleRatio,MS,108,0.437,0.18,0.398,0.311,0.52,0.208,0.152,1.068,0.916,FALSE
F,WMHRatio,HC,324,0.026,0.029,0.019,0.007,0.037,0.03,0,0.182,0.182,TRUE
F,WMHRatio,MS,108,0.293,0.407,0.123,0.037,0.387,0.35,0,2.117,2.117,TRUE
