Panel,Group,Regression_Successful,Polynomial_Degree,Coefficient_0,Coefficient_1,Coefficient_2,R_Squared,Age_Normalization_Mean,Age_Normalization_SD,Trend_Points,Error_Message
A,HC,Yes,2,0.429242,0.044862,-0.000236,0.058,34.7,10.2,100,None
A,MS,Yes,2,0.417163,0.059142,0.000431,0.064,37.4,10.2,100,None
B,HC,Yes,2,0.015467,-0.002394,0.001829,0.005,34.7,10.2,100,None
B,MS,Yes,2,0.282393,0.087322,-0.010212,0.035,37.4,10.2,100,None
C,HC,Yes,2,0.437695,0.037591,-0.002534,0.038,34.7,9.9,100,None
C,MS,Yes,2,0.415045,0.061454,-0.005088,0.058,37.7,10.2,100,None
D,HC,Yes,2,0.012003,-0.000445,0.000871,0.000,34.7,9.9,100,None
D,MS,Yes,2,0.267324,0.090450,-0.003453,0.036,37.7,10.2,100,None
E,HC,Yes,2,0.411468,0.058686,0.004817,0.111,34.8,10.8,100,None
E,MS,Yes,2,0.420798,0.055084,0.016127,0.107,36.6,10.5,100,None
F,HC,Yes,2,0.023518,-0.005863,0.002929,0.025,34.8,10.8,100,None
F,MS,Yes,2,0.328075,0.085282,-0.035228,0.035,36.6,10.5,100,None
