Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,23.57,13.55,10.02,57.5%,42.5%,34.7%,65.3%,314
HC,30-39,16.40,8.10,8.30,49.4%,50.6%,28.8%,71.2%,371
HC,40-49,19.16,9.56,9.61,49.9%,50.1%,34.8%,65.2%,221
HC,50-59,18.19,8.03,10.17,44.1%,55.9%,33.3%,66.7%,72
HC,60+,18.91,9.00,9.91,47.6%,52.4%,45.5%,54.5%,11
MS,18-29,151.50,56.46,95.04,37.3%,62.7%,32.2%,67.8%,90
MS,30-39,312.02,112.15,199.88,35.9%,64.1%,27.0%,73.0%,137
MS,40-49,377.48,114.86,262.61,30.4%,69.6%,28.2%,71.8%,103
MS,50-59,367.69,99.07,268.62,26.9%,73.1%,26.7%,73.3%,45
MS,60+,776.00,154.20,621.80,19.9%,80.1%,20.0%,80.0%,5
