Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,109,39.05,40.54,0.00,230.00,27.00,6.73,47.27
HC,18-29,Female,205,15.34,17.59,0.00,117.00,10.00,1.21,18.79
HC,30-39,Male,107,28.08,28.43,0.00,145.00,22.00,7.79,36.21
HC,30-39,Female,264,11.67,16.97,0.00,181.00,7.00,-1.49,15.49
HC,40-49,Male,77,27.43,32.79,0.00,156.00,16.00,-0.40,32.40
HC,40-49,Female,144,14.74,17.34,0.00,93.00,9.00,0.33,17.67
HC,50-59,Male,24,24.08,25.58,0.00,103.00,15.00,2.21,27.79
HC,50-59,Female,48,15.25,15.98,0.00,50.00,9.50,1.51,17.49
HC,60+,Male,5,19.80,15.07,0.00,38.00,22.00,14.46,29.54
HC,60+,Female,6,18.17,12.92,0.00,34.00,19.00,12.54,25.46
MS,18-29,Male,29,175.21,219.50,1.00,1117.00,96.00,-13.75,205.75
MS,18-29,Female,61,140.23,407.46,0.00,3112.00,48.00,-155.73,251.73
MS,30-39,Male,37,415.24,565.37,0.00,2448.00,163.00,-119.69,445.69
MS,30-39,Female,100,273.83,455.75,0.00,2500.00,89.50,-138.37,317.37
MS,40-49,Male,29,407.97,566.95,2.00,2219.00,182.00,-101.47,465.47
MS,40-49,Female,74,365.53,665.58,0.00,4712.00,143.50,-189.29,476.29
MS,50-59,Male,12,371.50,392.33,6.00,907.00,111.00,-85.17,307.17
MS,50-59,Female,33,366.30,528.07,1.00,2288.00,215.00,-49.04,479.04
MS,60+,Male,1,771.00,N/A,771.00,771.00,771.00,nan,nan
MS,60+,Female,4,777.25,764.62,10.00,1480.00,809.50,427.19,1191.81
