Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,0.02,0.01,0.01,54.8%,45.2%,34.7%,65.3%,314
HC,30-39,0.01,0.01,0.01,47.0%,53.0%,28.8%,71.2%,371
HC,40-49,0.02,0.01,0.01,47.2%,52.8%,34.8%,65.2%,221
HC,50-59,0.02,0.01,0.01,41.7%,58.3%,33.3%,66.7%,72
HC,60+,0.02,0.01,0.01,43.7%,56.3%,45.5%,54.5%,11
MS,18-29,0.13,0.05,0.09,35.0%,65.0%,32.2%,67.8%,90
MS,30-39,0.28,0.10,0.19,34.1%,65.9%,27.0%,73.0%,137
MS,40-49,0.33,0.10,0.24,28.4%,71.6%,28.2%,71.8%,103
MS,50-59,0.33,0.08,0.24,25.7%,74.3%,26.7%,73.3%,45
MS,60+,0.71,0.14,0.58,19.6%,80.4%,20.0%,80.0%,5
