Subgroup,Age Group,Lesion Type,N,Mean,SD,Median,Q25,Q75,Min,Max
All MS Patients,18-29,PEWMH,90,94.02,308.93,29.50,3.25,70.00,0.00,2771.00
All MS Patients,18-29,PAWMH,90,37.17,64.33,6.00,0.00,37.25,0.00,276.00
All MS Patients,18-29,JCWMH,90,20.31,26.43,8.00,0.25,29.75,0.00,114.00
All MS Patients,30-39,PEWMH,137,191.42,340.54,52.00,14.00,171.00,0.00,1886.00
All MS Patients,30-39,PAWMH,137,76.75,133.10,25.00,2.00,90.00,0.00,829.00
All MS Patients,30-39,JCWMH,137,43.85,58.60,21.00,5.00,57.00,0.00,304.00
All MS Patients,40-49,PEWMH,103,260.74,545.32,70.00,22.00,269.50,0.00,4469.00
All MS Patients,40-49,PAWMH,103,73.96,126.62,34.00,4.00,79.50,0.00,874.00
All MS Patients,40-49,JCWMH,103,42.78,41.52,30.00,7.00,65.50,0.00,178.00
All MS Patients,50-59,PEWMH,45,268.93,400.86,127.00,29.00,366.00,0.00,2087.00
All MS Patients,50-59,PAWMH,45,67.27,97.94,27.00,4.00,90.00,0.00,466.00
All MS Patients,50-59,JCWMH,45,31.49,33.26,20.00,3.00,51.00,0.00,112.00
All MS Patients,60+,PEWMH,5,586.00,538.75,546.00,111.00,1098.00,8.00,1167.00
All MS Patients,60+,PAWMH,5,103.20,86.21,130.00,27.00,150.00,2.00,207.00
All MS Patients,60+,JCWMH,5,86.80,62.59,93.00,71.00,95.00,0.00,175.00
Female MS Patients,18-29,PEWMH,61,90.23,355.85,19.00,1.00,65.00,0.00,2771.00
Female MS Patients,18-29,PAWMH,61,33.70,65.88,4.00,0.00,29.00,0.00,276.00
Female MS Patients,18-29,JCWMH,61,16.30,23.27,6.00,0.00,21.00,0.00,78.00
Female MS Patients,30-39,PEWMH,100,164.36,322.78,41.50,13.00,143.00,0.00,1886.00
Female MS Patients,30-39,PAWMH,100,70.35,121.75,20.00,2.00,82.00,0.00,829.00
Female MS Patients,30-39,JCWMH,100,39.12,52.72,18.50,5.00,51.00,0.00,249.00
Female MS Patients,40-49,PEWMH,74,249.78,576.30,55.50,23.00,225.00,0.00,4469.00
Female MS Patients,40-49,PAWMH,74,72.73,129.45,31.50,4.00,76.50,0.00,874.00
Female MS Patients,40-49,JCWMH,74,43.01,40.86,28.50,13.00,60.25,0.00,153.00
Female MS Patients,50-59,PEWMH,33,273.61,441.66,157.00,29.00,326.00,0.00,2087.00
Female MS Patients,50-59,PAWMH,33,60.48,97.34,29.00,3.00,72.00,0.00,466.00
Female MS Patients,50-59,JCWMH,33,32.21,33.21,21.00,5.00,51.00,0.00,112.00
Female MS Patients,60+,PEWMH,4,596.00,621.56,604.50,85.25,1115.25,8.00,1167.00
Female MS Patients,60+,PAWMH,4,96.50,98.04,88.50,20.75,164.25,2.00,207.00
Female MS Patients,60+,JCWMH,4,84.75,72.08,82.00,53.25,113.50,0.00,175.00
Male MS Patients,18-29,PEWMH,29,102.00,178.67,49.00,20.00,127.00,0.00,954.00
Male MS Patients,18-29,PAWMH,29,44.45,61.42,24.00,2.00,53.00,0.00,249.00
Male MS Patients,18-29,JCWMH,29,28.76,30.84,19.00,5.00,44.00,0.00,114.00
Male MS Patients,30-39,PEWMH,37,264.57,379.56,83.00,18.00,431.00,0.00,1415.00
Male MS Patients,30-39,PAWMH,37,94.05,160.43,32.00,4.00,105.00,0.00,793.00
Male MS Patients,30-39,JCWMH,37,56.62,71.41,30.00,10.00,69.00,0.00,304.00
Male MS Patients,40-49,PEWMH,29,288.69,465.06,88.00,21.00,408.00,0.00,2003.00
Male MS Patients,40-49,PAWMH,29,77.10,121.24,42.00,5.00,77.00,0.00,609.00
Male MS Patients,40-49,JCWMH,29,42.17,43.90,30.00,1.00,73.00,0.00,178.00
Male MS Patients,50-59,PEWMH,12,256.08,273.98,78.50,28.50,513.75,5.00,647.00
Male MS Patients,50-59,PAWMH,12,85.92,101.43,25.50,12.00,180.75,0.00,281.00
Male MS Patients,50-59,JCWMH,12,29.50,34.79,17.50,2.00,44.50,0.00,103.00
Male MS Patients,60+,PEWMH,1,546.00,N/A,546.00,546.00,546.00,546.00,546.00
Male MS Patients,60+,PAWMH,1,130.00,N/A,130.00,130.00,130.00,130.00,130.00
Male MS Patients,60+,JCWMH,1,95.00,N/A,95.00,95.00,95.00,95.00,95.00
