Subgroup,Age Group,Age Center,PEWMH Mean,PAWMH Mean,JCWMH Mean,PEWMH N,PAWMH N,JCWMH N,Total Mean
All MS Patients,18-29,23.5,94.02,37.17,20.31,90,90,90,151.50
All MS Patients,30-39,34.5,191.42,76.75,43.85,137,137,137,312.02
All MS Patients,40-49,44.5,260.74,73.96,42.78,103,103,103,377.48
All MS Patients,50-59,54.5,268.93,67.27,31.49,45,45,45,367.69
All MS Patients,60+,64.5,586.00,103.20,86.80,5,5,5,776.00
Female MS Patients,18-29,23.5,90.23,33.70,16.30,61,61,61,140.23
Female MS Patients,30-39,34.5,164.36,70.35,39.12,100,100,100,273.83
Female MS Patients,40-49,44.5,249.78,72.73,43.01,74,74,74,365.53
Female MS Patients,50-59,54.5,273.61,60.48,32.21,33,33,33,366.30
Female MS Patients,60+,64.5,596.00,96.50,84.75,4,4,4,777.25
Male MS Patients,18-29,23.5,102.00,44.45,28.76,29,29,29,175.21
Male MS Patients,30-39,34.5,264.57,94.05,56.62,37,37,37,415.24
Male MS Patients,40-49,44.5,288.69,77.10,42.17,29,29,29,407.97
Male MS Patients,50-59,54.5,256.08,85.92,29.50,12,12,12,371.50
Male MS Patients,60+,64.5,546.00,130.00,95.00,1,1,1,771.00
