Subgroup,Age Group,Age Center,PEWMH Mean,PAWMH Mean,JCWMH Mean,PEWMH N,PAWMH N,JCWMH N,Total Mean
All MS Patients,18-29,23.5,44.97,22.18,21.74,90,90,90,88.89
All MS Patients,30-39,34.5,51.49,23.85,20.28,137,137,137,95.62
All MS Patients,40-49,44.5,54.81,22.58,20.67,103,103,103,98.06
All MS Patients,50-59,54.5,67.39,20.55,12.06,45,45,45,100.00
All MS Patients,60+,64.5,71.43,14.67,13.90,5,5,5,100.00
Female MS Patients,18-29,23.5,43.10,19.98,20.52,61,61,61,83.61
Female MS Patients,30-39,34.5,49.39,25.58,21.03,100,100,100,96.00
Female MS Patients,40-49,44.5,50.38,23.94,22.98,74,74,74,97.30
Female MS Patients,50-59,54.5,67.81,19.00,13.19,33,33,33,100.00
Female MS Patients,60+,64.5,71.58,14.12,14.30,4,4,4,100.00
Male MS Patients,18-29,23.5,48.90,26.80,24.29,29,29,29,100.00
Male MS Patients,30-39,34.5,57.19,19.16,18.24,37,37,37,94.59
Male MS Patients,40-49,44.5,66.12,19.09,14.79,29,29,29,100.00
Male MS Patients,50-59,54.5,66.22,24.83,8.95,12,12,12,100.00
Male MS Patients,60+,64.5,70.82,16.86,12.32,1,1,1,100.00
