Subgroup,Age Group,PEWMH Layer,PAWMH Layer,JCWMH Layer,Total Height,PEWMH Contribution,PAWMH Contribution,JCWMH Contribution,PEWMH %,PAWMH %,JCWMH %
All MS Patients,18-29,0.00 to 44.97,44.97 to 67.15,67.15 to 88.89,88.89,44.97,22.18,21.74,50.6%,25.0%,24.5%
All MS Patients,30-39,0.00 to 51.49,51.49 to 75.34,75.34 to 95.62,95.62,51.49,23.85,20.28,53.9%,24.9%,21.2%
All MS Patients,40-49,0.00 to 54.81,54.81 to 77.39,77.39 to 98.06,98.06,54.81,22.58,20.67,55.9%,23.0%,21.1%
All MS Patients,50-59,0.00 to 67.39,67.39 to 87.94,87.94 to 100.00,100.00,67.39,20.55,12.06,67.4%,20.6%,12.1%
All MS Patients,60+,0.00 to 71.43,71.43 to 86.10,86.10 to 100.00,100.00,71.43,14.67,13.90,71.4%,14.7%,13.9%
Female MS Patients,18-29,0.00 to 43.10,43.10 to 63.08,63.08 to 83.61,83.61,43.10,19.98,20.52,51.5%,23.9%,24.5%
Female MS Patients,30-39,0.00 to 49.39,49.39 to 74.97,74.97 to 96.00,96.00,49.39,25.58,21.03,51.4%,26.6%,21.9%
Female MS Patients,40-49,0.00 to 50.38,50.38 to 74.32,74.32 to 97.30,97.30,50.38,23.94,22.98,51.8%,24.6%,23.6%
Female MS Patients,50-59,0.00 to 67.81,67.81 to 86.81,86.81 to 100.00,100.00,67.81,19.00,13.19,67.8%,19.0%,13.2%
Female MS Patients,60+,0.00 to 71.58,71.58 to 85.70,85.70 to 100.00,100.00,71.58,14.12,14.30,71.6%,14.1%,14.3%
Male MS Patients,18-29,0.00 to 48.90,48.90 to 75.71,75.71 to 100.00,100.00,48.90,26.80,24.29,48.9%,26.8%,24.3%
Male MS Patients,30-39,0.00 to 57.19,57.19 to 76.35,76.35 to 94.59,94.59,57.19,19.16,18.24,60.5%,20.3%,19.3%
Male MS Patients,40-49,0.00 to 66.12,66.12 to 85.21,85.21 to 100.00,100.00,66.12,19.09,14.79,66.1%,19.1%,14.8%
Male MS Patients,50-59,0.00 to 66.22,66.22 to 91.05,91.05 to 100.00,100.00,66.22,24.83,8.95,66.2%,24.8%,9.0%
Male MS Patients,60+,0.00 to 70.82,70.82 to 87.68,87.68 to 100.00,100.00,70.82,16.86,12.32,70.8%,16.9%,12.3%
