Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,409.49,146.05,263.44,35.7%,64.3%,34.7%,65.3%,314
HC,30-39,489.44,144.99,344.45,29.6%,70.4%,28.8%,71.2%,371
HC,40-49,514.11,187.24,326.88,36.4%,63.6%,34.8%,65.2%,221
HC,50-59,587.42,232.43,354.99,39.6%,60.4%,33.3%,66.7%,72
HC,60+,637.82,316.09,321.73,49.6%,50.4%,45.5%,54.5%,11
MS,18-29,388.09,157.24,230.84,40.5%,59.5%,32.2%,67.8%,90
MS,30-39,439.05,124.60,314.45,28.4%,71.6%,27.0%,73.0%,137
MS,40-49,507.44,153.50,353.93,30.3%,69.7%,28.2%,71.8%,103
MS,50-59,596.96,193.67,403.29,32.4%,67.6%,26.7%,73.3%,45
MS,60+,569.60,106.40,463.20,18.7%,81.3%,20.0%,80.0%,5
