Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,0.37,0.12,0.25,33.2%,66.8%,34.7%,65.3%,314
HC,30-39,0.44,0.12,0.32,27.1%,72.9%,28.8%,71.2%,371
HC,40-49,0.46,0.16,0.30,34.0%,66.0%,34.8%,65.2%,221
HC,50-59,0.53,0.19,0.33,36.7%,63.3%,33.3%,66.7%,72
HC,60+,0.57,0.26,0.31,46.1%,53.9%,45.5%,54.5%,11
MS,18-29,0.34,0.13,0.21,37.6%,62.4%,32.2%,67.8%,90
MS,30-39,0.40,0.10,0.29,26.3%,73.7%,27.0%,73.0%,137
MS,40-49,0.45,0.13,0.32,28.6%,71.4%,28.2%,71.8%,103
MS,50-59,0.53,0.16,0.36,31.0%,69.0%,26.7%,73.3%,45
MS,60+,0.52,0.10,0.43,18.4%,81.6%,20.0%,80.0%,5
