Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,109,0.35,0.14,0.09,0.78,0.34,0.27,0.41
HC,18-29,Female,205,0.38,0.15,0.09,0.84,0.36,0.29,0.44
HC,30-39,Male,107,0.41,0.17,0.12,0.93,0.38,0.30,0.46
HC,30-39,Female,264,0.45,0.21,0.05,2.08,0.43,0.33,0.54
HC,40-49,Male,77,0.45,0.17,0.15,1.21,0.42,0.33,0.51
HC,40-49,Female,144,0.46,0.18,0.09,0.92,0.45,0.37,0.54
HC,50-59,Male,24,0.58,0.23,0.11,0.99,0.60,0.49,0.72
HC,50-59,Female,48,0.50,0.17,0.16,1.08,0.49,0.41,0.58
HC,60+,Male,5,0.58,0.48,0.19,1.39,0.50,0.26,0.74
HC,60+,Female,6,0.57,0.16,0.37,0.76,0.61,0.53,0.69
MS,18-29,Male,29,0.40,0.16,0.21,1.07,0.36,0.28,0.44
MS,18-29,Female,61,0.32,0.13,0.08,0.77,0.29,0.23,0.36
MS,30-39,Male,37,0.39,0.13,0.18,0.71,0.36,0.29,0.42
MS,30-39,Female,100,0.40,0.22,0.03,1.89,0.35,0.25,0.46
MS,40-49,Male,29,0.46,0.21,0.16,1.05,0.42,0.32,0.53
MS,40-49,Female,74,0.45,0.35,0.16,2.97,0.38,0.21,0.56
MS,50-59,Male,12,0.61,0.19,0.15,0.84,0.69,0.59,0.78
MS,50-59,Female,33,0.50,0.22,0.21,1.22,0.45,0.34,0.56
MS,60+,Male,1,0.48,N/A,0.48,0.48,0.48,nan,nan
MS,60+,Female,4,0.54,0.21,0.37,0.83,0.47,0.36,0.58
