Panel,Group,N,Age_Mean,Age_SD,Age_Median,Age_Q25,Age_Q75,Age_IQR,Age_Min,Age_Max,Age_Range
A,HC,1000,34.7,10.1,35.0,27.0,41.0,14.0,18.0,74.0,56.0
A,MS,381,37.3,10.2,37.0,30.0,45.0,15.0,18.0,68.0,50.0
B,HC,1000,34.7,10.1,35.0,27.0,41.0,14.0,18.0,74.0,56.0
B,MS,381,37.3,10.2,37.0,30.0,45.0,15.0,18.0,68.0,50.0
C,HC,673,34.7,9.8,34.0,27.0,41.0,14.0,18.0,74.0,56.0
C,MS,273,37.7,10.1,37.0,30.0,44.0,14.0,18.0,68.0,50.0
D,HC,673,34.7,9.8,34.0,27.0,41.0,14.0,18.0,74.0,56.0
D,MS,273,37.7,10.1,37.0,30.0,44.0,14.0,18.0,68.0,50.0
E,HC,327,34.8,10.8,35.0,26.0,41.5,15.5,18.0,72.0,54.0
E,MS,108,36.6,10.5,34.5,29.0,45.2,16.2,18.0,60.0,42.0
F,HC,327,34.8,10.8,35.0,26.0,41.5,15.5,18.0,72.0,54.0
F,MS,108,36.6,10.5,34.5,29.0,45.2,16.2,18.0,60.0,42.0
