Panel,Measure,Group,N,Ratio_Mean,Ratio_SD,Ratio_Median,Ratio_Q25,Ratio_Q75,Ratio_IQR,Ratio_Min,Ratio_Max,Ratio_Range,Log_Scale_Used
A,VentricleRatio,HC,1000,1.165,0.408,1.100,0.877,1.405,0.529,0.258,3.662,3.404,False
A,VentricleRatio,MS,381,1.808,0.847,1.578,1.212,2.168,0.956,0.146,5.729,5.583,False
B,WMHRatio,HC,1000,0.011,0.012,0.007,0.002,0.015,0.013,0.000,0.115,0.115,True
B,WMHRatio,MS,381,0.601,0.744,0.282,0.122,0.836,0.713,0.000,4.589,4.589,True
C,VentricleRatio,HC,673,1.155,0.401,1.096,0.865,1.400,0.535,0.363,2.944,2.580,False
C,VentricleRatio,MS,273,1.817,0.872,1.594,1.250,2.111,0.861,0.146,5.729,5.583,False
D,WMHRatio,HC,673,0.010,0.011,0.007,0.002,0.015,0.013,0.000,0.088,0.088,True
D,WMHRatio,MS,273,0.614,0.785,0.278,0.113,0.836,0.723,0.000,4.589,4.589,True
E,VentricleRatio,HC,327,1.186,0.422,1.105,0.900,1.416,0.516,0.258,3.662,3.404,False
E,VentricleRatio,MS,108,1.784,0.784,1.537,1.179,2.327,1.148,0.610,4.561,3.950,False
F,WMHRatio,HC,327,0.011,0.013,0.008,0.003,0.016,0.013,0.000,0.115,0.115,True
F,WMHRatio,MS,108,0.567,0.627,0.338,0.123,0.847,0.724,0.000,3.503,3.502,True
