Panel,Group,Regression_Successful,Polynomial_Degree,R_Squared,Data_Age_Min,Data_Age_Max,Trend_Age_Max,Age_Limit_Config,Coefficient_0_(const),Coefficient_1_(linear),Coefficient_2_(quadratic),Age_Normalization_Mean,Age_Normalization_SD,Trend_Points,Error_Message
A,HC,Yes,2,0.0475,18.0,74.0,60.0,60,1.144433,0.075352,0.020365,34.7,10.1,100,None
A,MS,Yes,2,0.1395,18.0,68.0,60.0,60,1.809253,0.316662,-0.001680,37.3,10.2,100,None
B,HC,Yes,2,0.0081,18.0,74.0,60.0,60,0.010453,0.000902,0.000264,34.7,10.1,100,None
B,MS,Yes,2,0.0516,18.0,68.0,60.0,60,0.623945,0.171622,-0.023188,37.3,10.2,100,None
C,HC,Yes,2,0.0312,18.0,74.0,60.0,60,1.143286,0.064171,0.011241,34.7,9.8,100,None
C,MS,Yes,2,0.1370,18.0,68.0,60.0,60,1.821661,0.323683,-0.004781,37.7,10.1,100,None
D,HC,Yes,2,0.0119,18.0,74.0,60.0,60,0.010042,0.001040,0.000304,34.7,9.8,100,None
D,MS,Yes,2,0.0518,18.0,68.0,60.0,60,0.621681,0.180138,-0.007338,37.7,10.1,100,None
E,HC,Yes,2,0.0847,18.0,72.0,60.0,60,1.150716,0.097780,0.035301,34.8,10.8,100,None
E,MS,Yes,2,0.1476,18.0,60.0,60.0,60,1.779063,0.299790,0.005002,36.6,10.5,100,None
F,HC,Yes,2,0.0033,18.0,72.0,60.0,60,0.011343,0.000663,0.000139,34.8,10.8,100,None
F,MS,Yes,2,0.0650,18.0,60.0,60.0,60,0.643468,0.153683,-0.077626,36.6,10.5,100,None
