Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,22.57,8.69,13.89,38.5%,61.5%,34.9%,65.1%,315
HC,30-39,21.68,7.80,13.88,36.0%,64.0%,29.0%,71.0%,379
HC,40-49,25.91,10.31,15.61,39.8%,60.2%,34.8%,65.2%,221
HC,50-59,28.58,8.89,19.69,31.1%,68.9%,33.3%,66.7%,72
HC,60+,29.64,9.64,20.00,32.5%,67.5%,45.5%,54.5%,11
MS,18-29,673.22,231.47,441.76,34.4%,65.6%,32.2%,67.8%,90
MS,30-39,1324.93,413.86,911.07,31.2%,68.8%,26.8%,73.2%,138
MS,40-49,1395.62,374.48,1021.15,26.8%,73.2%,28.2%,71.8%,103
MS,50-59,1496.53,340.18,1156.36,22.7%,77.3%,26.7%,73.3%,45
MS,60+,3192.00,625.00,2567.00,19.6%,80.4%,20.0%,80.0%,5
