Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,110,24.87,26.63,0.00,150.00,19.00,5.68,32.32
HC,18-29,Female,205,21.34,22.91,0.00,121.00,14.00,2.55,25.45
HC,30-39,Male,110,26.88,32.45,0.00,262.00,19.00,2.77,35.23
HC,30-39,Female,269,19.56,23.29,0.00,183.00,12.00,0.35,23.65
HC,40-49,Male,77,29.58,31.36,0.00,139.00,20.00,4.32,35.68
HC,40-49,Female,144,23.95,26.95,0.00,189.00,17.00,3.52,30.48
HC,50-59,Male,24,26.67,31.92,0.00,122.00,17.00,1.04,32.96
HC,50-59,Female,48,29.54,25.57,0.00,103.00,23.50,10.72,36.28
HC,60+,Male,5,21.20,11.90,0.00,28.00,26.00,20.05,31.95
HC,60+,Female,6,36.67,20.78,0.00,56.00,40.50,30.11,50.89
MS,18-29,Male,29,718.34,615.61,1.00,2215.00,568.00,260.19,875.81
MS,18-29,Female,61,651.77,1285.52,0.00,9440.00,336.00,-306.76,978.76
MS,30-39,Male,37,1543.57,1746.02,8.00,7581.00,806.00,-67.01,1679.01
MS,30-39,Female,101,1244.83,1513.50,25.00,6303.00,564.00,-192.75,1320.75
MS,40-49,Male,29,1330.03,1359.64,37.00,5043.00,901.00,221.18,1580.82
MS,40-49,Female,74,1421.32,1594.94,5.00,7963.00,814.00,16.53,1611.47
MS,50-59,Male,12,1275.67,1068.43,84.00,2806.00,1144.50,610.29,1678.71
MS,50-59,Female,33,1576.85,1461.36,44.00,5927.00,1466.00,735.32,2196.68
MS,60+,Male,1,3125.00,N/A,3125.00,3125.00,3125.00,nan,nan
MS,60+,Female,4,3208.75,2566.64,276.00,5391.00,3584.00,2300.68,4867.32
