Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 24.87,24.87 to 46.21,46.21,24.87,21.34
HC,30-39,0.00 to 26.88,26.88 to 46.44,46.44,26.88,19.56
HC,40-49,0.00 to 29.58,29.58 to 53.54,53.54,29.58,23.95
HC,50-59,0.00 to 26.67,26.67 to 56.21,56.21,26.67,29.54
HC,60+,0.00 to 21.20,21.20 to 57.87,57.87,21.20,36.67
MS,18-29,0.00 to 718.34,718.34 to 1370.12,1370.12,718.34,651.77
MS,30-39,0.00 to 1543.57,1543.57 to 2788.40,2788.40,1543.57,1244.83
MS,40-49,0.00 to 1330.03,1330.03 to 2751.36,2751.36,1330.03,1421.32
MS,50-59,0.00 to 1275.67,1275.67 to 2852.52,2852.52,1275.67,1576.85
MS,60+,0.00 to 3125.00,3125.00 to 6333.75,6333.75,3125.00,3208.75
