Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,0.01,0.00,0.01,35.9%,64.1%,34.9%,65.1%,315
HC,30-39,0.01,0.00,0.01,33.7%,66.3%,29.0%,71.0%,379
HC,40-49,0.01,0.00,0.01,37.9%,62.1%,34.8%,65.2%,221
HC,50-59,0.01,0.00,0.01,28.3%,71.7%,33.3%,66.7%,72
HC,60+,0.01,0.00,0.01,31.0%,69.0%,45.5%,54.5%,11
MS,18-29,0.31,0.10,0.21,32.3%,67.7%,32.2%,67.8%,90
MS,30-39,0.64,0.18,0.45,28.9%,71.1%,26.8%,73.2%,138
MS,40-49,0.69,0.17,0.51,25.3%,74.7%,28.2%,71.8%,103
MS,50-59,0.75,0.16,0.59,21.1%,78.9%,26.7%,73.3%,45
MS,60+,1.63,0.31,1.31,19.3%,80.7%,20.0%,80.0%,5
