Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,1.02,0.37,0.66,35.9%,64.1%,34.9%,65.1%,315
HC,30-39,0.99,0.33,0.66,33.7%,66.3%,29.0%,71.0%,379
HC,40-49,1.18,0.45,0.73,37.9%,62.1%,34.8%,65.2%,221
HC,50-59,1.32,0.37,0.95,28.3%,71.7%,33.3%,66.7%,72
HC,60+,1.38,0.43,0.95,31.0%,69.0%,45.5%,54.5%,11
MS,18-29,31.48,10.17,21.31,32.3%,67.7%,32.2%,67.8%,90
MS,30-39,63.86,18.45,45.41,28.9%,71.1%,26.8%,73.2%,138
MS,40-49,68.56,17.37,51.19,25.3%,74.7%,28.2%,71.8%,103
MS,50-59,74.89,15.81,59.08,21.1%,78.9%,26.7%,73.3%,45
MS,60+,162.67,31.35,131.32,19.3%,80.7%,20.0%,80.0%,5
