Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,110,0.01,0.01,0.00,0.07,0.01,0.00,0.01
HC,18-29,Female,205,0.01,0.01,0.00,0.07,0.01,0.00,0.01
HC,30-39,Male,110,0.01,0.01,0.00,0.12,0.01,0.00,0.02
HC,30-39,Female,269,0.01,0.01,0.00,0.08,0.01,0.00,0.01
HC,40-49,Male,77,0.01,0.01,0.00,0.07,0.01,0.00,0.02
HC,40-49,Female,144,0.01,0.01,0.00,0.09,0.01,0.00,0.01
HC,50-59,Male,24,0.01,0.01,0.00,0.05,0.01,0.00,0.01
HC,50-59,Female,48,0.01,0.01,0.00,0.05,0.01,0.01,0.02
HC,60+,Male,5,0.01,0.01,0.00,0.01,0.01,0.01,0.01
HC,60+,Female,6,0.02,0.01,0.00,0.03,0.02,0.01,0.02
MS,18-29,Male,29,0.32,0.28,0.00,1.00,0.24,0.10,0.37
MS,18-29,Female,61,0.31,0.63,0.00,4.59,0.15,-0.16,0.47
MS,30-39,Male,37,0.69,0.80,0.00,3.50,0.37,-0.03,0.77
MS,30-39,Female,101,0.62,0.76,0.01,3.24,0.29,-0.09,0.67
MS,40-49,Male,29,0.62,0.62,0.01,2.25,0.36,0.05,0.67
MS,40-49,Female,74,0.71,0.82,0.00,4.03,0.41,-0.00,0.82
MS,50-59,Male,12,0.59,0.49,0.04,1.17,0.56,0.32,0.81
MS,50-59,Female,33,0.81,0.78,0.02,3.50,0.69,0.29,1.08
MS,60+,Male,1,1.57,N/A,1.57,1.57,1.57,nan,nan
MS,60+,Female,4,1.64,1.37,0.14,2.81,1.81,1.12,2.49
