Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,110,1.05,1.15,0.00,7.01,0.80,0.22,1.37
HC,18-29,Female,205,1.01,1.09,0.00,6.62,0.65,0.11,1.20
HC,30-39,Male,110,1.15,1.44,0.00,11.53,0.80,0.08,1.52
HC,30-39,Female,269,0.93,1.09,0.00,8.26,0.58,0.03,1.12
HC,40-49,Male,77,1.28,1.38,0.00,6.63,0.86,0.17,1.55
HC,40-49,Female,144,1.12,1.25,0.00,8.83,0.77,0.14,1.39
HC,50-59,Male,24,1.12,1.32,0.00,4.99,0.72,0.06,1.38
HC,50-59,Female,48,1.42,1.24,0.00,4.86,1.15,0.53,1.77
HC,60+,Male,5,0.94,0.53,0.00,1.23,1.12,0.86,1.39
HC,60+,Female,6,1.74,0.99,0.00,2.89,1.88,1.39,2.38
MS,18-29,Male,29,31.56,27.84,0.04,99.86,23.55,9.63,37.47
MS,18-29,Female,61,31.43,62.88,0.00,458.87,15.38,-16.06,46.82
MS,30-39,Male,37,68.82,79.90,0.36,350.28,36.76,-3.19,76.71
MS,30-39,Female,101,62.05,76.12,1.06,323.71,28.89,-9.17,66.95
MS,40-49,Male,29,61.69,62.23,1.45,224.68,35.70,4.59,66.82
MS,40-49,Female,74,71.26,82.18,0.21,402.81,40.94,-0.15,82.03
MS,50-59,Male,12,59.28,49.26,3.54,116.96,56.18,31.55,80.81
MS,50-59,Female,33,80.56,78.24,2.13,350.27,68.52,29.40,107.64
MS,60+,Male,1,156.74,N/A,156.74,156.74,156.74,nan,nan
MS,60+,Female,4,164.15,136.97,13.69,281.21,180.86,112.37,249.34
