Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,110,0.01,0.01,0.00,0.04,0.00,0.00,0.01
HC,18-29,Female,205,0.01,0.01,0.00,0.03,0.00,0.00,0.01
HC,30-39,Male,110,0.01,0.01,0.00,0.06,0.00,0.00,0.01
HC,30-39,Female,269,0.00,0.01,0.00,0.05,0.00,0.00,0.01
HC,40-49,Male,77,0.01,0.01,0.00,0.03,0.00,0.00,0.01
HC,40-49,Female,144,0.01,0.01,0.00,0.05,0.00,0.00,0.01
HC,50-59,Male,24,0.01,0.01,0.00,0.03,0.00,-0.00,0.01
HC,50-59,Female,48,0.01,0.01,0.00,0.03,0.01,0.00,0.01
HC,60+,Male,5,0.00,0.00,0.00,0.01,0.01,0.00,0.01
HC,60+,Female,6,0.01,0.01,0.00,0.02,0.01,0.01,0.01
MS,18-29,Male,29,0.16,0.14,0.00,0.50,0.12,0.05,0.19
MS,18-29,Female,61,0.16,0.31,0.00,2.29,0.09,-0.07,0.24
MS,30-39,Male,37,0.36,0.42,0.00,1.78,0.19,-0.02,0.40
MS,30-39,Female,101,0.32,0.39,0.01,1.65,0.14,-0.05,0.34
MS,40-49,Male,29,0.30,0.30,0.01,1.16,0.22,0.07,0.37
MS,40-49,Female,74,0.36,0.41,0.00,1.94,0.20,0.00,0.41
MS,50-59,Male,12,0.30,0.25,0.02,0.64,0.27,0.15,0.40
MS,50-59,Female,33,0.40,0.36,0.01,1.40,0.39,0.21,0.56
MS,60+,Male,1,0.75,N/A,0.75,0.75,0.75,nan,nan
MS,60+,Female,4,0.80,0.65,0.07,1.40,0.87,0.55,1.20
