Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,110,0.58,0.63,0.00,3.81,0.42,0.10,0.73
HC,18-29,Female,205,0.55,0.60,0.00,3.29,0.35,0.05,0.65
HC,30-39,Male,110,0.62,0.78,0.00,6.45,0.43,0.04,0.82
HC,30-39,Female,269,0.49,0.58,0.00,4.63,0.32,0.03,0.61
HC,40-49,Male,77,0.68,0.71,0.00,3.16,0.48,0.12,0.83
HC,40-49,Female,144,0.60,0.68,0.00,5.03,0.40,0.06,0.74
HC,50-59,Male,24,0.61,0.75,0.00,2.97,0.36,-0.01,0.74
HC,50-59,Female,48,0.75,0.67,0.00,2.86,0.60,0.26,0.93
HC,60+,Male,5,0.49,0.27,0.00,0.62,0.61,0.47,0.75
HC,60+,Female,6,0.95,0.55,0.00,1.64,1.01,0.73,1.28
MS,18-29,Male,29,16.37,14.04,0.02,50.12,12.43,5.41,19.44
MS,18-29,Female,61,16.17,31.42,0.00,229.36,8.60,-7.11,24.31
MS,30-39,Male,37,36.26,41.81,0.18,177.82,18.95,-1.95,39.86
MS,30-39,Female,101,31.75,38.56,0.60,164.65,14.47,-4.81,33.75
MS,40-49,Male,29,30.38,30.24,0.87,116.08,21.70,6.58,36.82
MS,40-49,Female,74,35.97,40.54,0.12,194.03,20.45,0.18,40.72
MS,50-59,Male,12,29.73,24.73,1.92,63.74,27.44,15.07,39.81
MS,50-59,Female,33,39.58,35.52,1.12,139.68,38.64,20.88,56.41
MS,60+,Male,1,75.13,N/A,75.13,75.13,75.13,nan,nan
MS,60+,Female,4,80.31,65.02,6.84,139.78,87.31,54.80,119.82
