Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 0.01,0.01 to 0.01,0.01,0.01,0.01
HC,30-39,0.00 to 0.01,0.01 to 0.01,0.01,0.01,0.00
HC,40-49,0.00 to 0.01,0.01 to 0.01,0.01,0.01,0.01
HC,50-59,0.00 to 0.01,0.01 to 0.01,0.01,0.01,0.01
HC,60+,0.00 to 0.00,0.00 to 0.01,0.01,0.00,0.01
MS,18-29,0.00 to 0.16,0.16 to 0.33,0.33,0.16,0.16
MS,30-39,0.00 to 0.36,0.36 to 0.68,0.68,0.36,0.32
MS,40-49,0.00 to 0.30,0.30 to 0.66,0.66,0.30,0.36
MS,50-59,0.00 to 0.30,0.30 to 0.69,0.69,0.30,0.40
MS,60+,0.00 to 0.75,0.75 to 1.55,1.55,0.75,0.80
