Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 0.58,0.58 to 1.13,1.13,0.58,0.55
HC,30-39,0.00 to 0.62,0.62 to 1.11,1.11,0.62,0.49
HC,40-49,0.00 to 0.68,0.68 to 1.27,1.27,0.68,0.60
HC,50-59,0.00 to 0.61,0.61 to 1.36,1.36,0.61,0.75
HC,60+,0.00 to 0.49,0.49 to 1.44,1.44,0.49,0.95
MS,18-29,0.00 to 16.37,16.37 to 32.54,32.54,16.37,16.17
MS,30-39,0.00 to 36.26,36.26 to 68.01,68.01,36.26,31.75
MS,40-49,0.00 to 30.38,30.38 to 66.35,66.35,30.38,35.97
MS,50-59,0.00 to 29.73,29.73 to 69.31,69.31,29.73,39.58
MS,60+,0.00 to 75.13,75.13 to 155.43,155.43,75.13,80.31
