Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 0.01,0.01 to 0.02,0.02,0.01,0.01
HC,30-39,0.00 to 0.01,0.01 to 0.02,0.02,0.01,0.01
HC,40-49,0.00 to 0.01,0.01 to 0.02,0.02,0.01,0.01
HC,50-59,0.00 to 0.01,0.01 to 0.03,0.03,0.01,0.01
HC,60+,0.00 to 0.01,0.01 to 0.03,0.03,0.01,0.02
MS,18-29,0.00 to 0.32,0.32 to 0.63,0.63,0.32,0.31
MS,30-39,0.00 to 0.69,0.69 to 1.31,1.31,0.69,0.62
MS,40-49,0.00 to 0.62,0.62 to 1.33,1.33,0.62,0.71
MS,50-59,0.00 to 0.59,0.59 to 1.40,1.40,0.59,0.81
MS,60+,0.00 to 1.57,1.57 to 3.21,3.21,1.57,1.64
