Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 1.05,1.05 to 2.06,2.06,1.05,1.01
HC,30-39,0.00 to 1.15,1.15 to 2.08,2.08,1.15,0.93
HC,40-49,0.00 to 1.28,1.28 to 2.40,2.40,1.28,1.12
HC,50-59,0.00 to 1.12,1.12 to 2.54,2.54,1.12,1.42
HC,60+,0.00 to 0.94,0.94 to 2.68,2.68,0.94,1.74
MS,18-29,0.00 to 31.56,31.56 to 63.00,63.00,31.56,31.43
MS,30-39,0.00 to 68.82,68.82 to 130.87,130.87,68.82,62.05
MS,40-49,0.00 to 61.69,61.69 to 132.95,132.95,61.69,71.26
MS,50-59,0.00 to 59.28,59.28 to 139.85,139.85,59.28,80.56
MS,60+,0.00 to 156.74,156.74 to 320.89,320.89,156.74,164.15
