Subgroup,Age Group,Lesion Type,N,Mean,SD,Median,Q25,Q75,Min,Max
All MS Patients,18-29,PEWMH,90,381.83,942.49,174.00,57.50,416.00,0.00,8633.00
All MS Patients,18-29,DWMH,90,263.81,303.03,149.50,42.50,362.75,0.00,1419.00
All MS Patients,18-29,JCWMH,90,27.58,29.10,19.50,6.00,37.75,0.00,143.00
All MS Patients,30-39,PEWMH,138,782.96,1098.02,317.50,83.50,946.50,0.00,5898.00
All MS Patients,30-39,DWMH,138,501.08,556.35,316.00,97.25,714.50,0.00,2667.00
All MS Patients,30-39,JCWMH,138,40.88,41.47,28.50,12.25,55.25,0.00,207.00
All MS Patients,40-49,PEWMH,103,876.49,1209.98,397.00,161.00,1123.00,5.00,7536.00
All MS Patients,40-49,DWMH,103,478.46,440.93,374.00,107.00,779.50,0.00,1756.00
All MS Patients,40-49,JCWMH,103,40.68,38.15,31.00,13.50,56.00,0.00,207.00
All MS Patients,50-59,PEWMH,45,1048.22,1135.23,996.00,181.00,1487.00,31.00,5703.00
All MS Patients,50-59,DWMH,45,404.87,345.20,343.00,103.00,647.00,0.00,1404.00
All MS Patients,50-59,JCWMH,45,43.44,34.85,38.00,18.00,64.00,0.00,171.00
All MS Patients,60+,PEWMH,5,2184.00,1676.93,1891.00,1155.00,3468.00,147.00,4259.00
All MS Patients,60+,DWMH,5,943.60,629.29,924.00,675.00,1204.00,108.00,1807.00
All MS Patients,60+,JCWMH,5,64.40,64.39,30.00,21.00,116.00,5.00,150.00
Female MS Patients,18-29,PEWMH,61,401.00,1124.31,155.00,46.00,350.00,0.00,8633.00
Female MS Patients,18-29,DWMH,61,223.79,294.80,132.00,32.00,249.00,0.00,1419.00
Female MS Patients,18-29,JCWMH,61,26.98,30.62,18.00,6.00,34.00,0.00,143.00
Female MS Patients,30-39,PEWMH,101,712.95,1008.77,260.00,76.00,891.00,0.00,4589.00
Female MS Patients,30-39,DWMH,101,491.92,571.24,282.00,88.00,713.00,0.00,2667.00
Female MS Patients,30-39,JCWMH,101,39.96,42.66,28.00,11.00,52.00,0.00,207.00
Female MS Patients,40-49,PEWMH,74,892.72,1292.20,369.50,174.00,1138.75,5.00,7536.00
Female MS Patients,40-49,DWMH,74,486.24,446.53,372.00,110.25,745.25,0.00,1756.00
Female MS Patients,40-49,JCWMH,74,42.36,37.56,32.00,17.00,59.50,0.00,207.00
Female MS Patients,50-59,PEWMH,33,1105.12,1236.11,996.00,181.00,1496.00,31.00,5703.00
Female MS Patients,50-59,DWMH,33,421.55,361.35,407.00,103.00,656.00,0.00,1404.00
Female MS Patients,50-59,JCWMH,33,50.18,37.26,50.00,21.00,66.00,0.00,171.00
Female MS Patients,60+,PEWMH,4,2257.25,1927.09,2311.50,903.00,3665.75,147.00,4259.00
Female MS Patients,60+,DWMH,4,878.50,706.93,799.50,533.25,1144.75,108.00,1807.00
Female MS Patients,60+,JCWMH,4,73.00,70.96,68.50,17.00,124.50,5.00,150.00
Male MS Patients,18-29,PEWMH,29,341.52,335.08,208.00,119.00,479.00,1.00,1206.00
Male MS Patients,18-29,DWMH,29,348.00,307.94,278.00,102.00,492.00,0.00,1070.00
Male MS Patients,18-29,JCWMH,29,28.83,26.08,26.00,7.00,43.00,0.00,94.00
Male MS Patients,30-39,PEWMH,37,974.08,1307.73,392.00,198.00,1278.00,0.00,5898.00
Male MS Patients,30-39,DWMH,37,526.08,520.20,344.00,127.00,715.00,0.00,1818.00
Male MS Patients,30-39,JCWMH,37,43.41,38.48,35.00,21.00,60.00,0.00,164.00
Male MS Patients,40-49,PEWMH,29,835.07,988.69,416.00,139.00,1009.00,18.00,3916.00
Male MS Patients,40-49,DWMH,29,458.59,433.42,376.00,97.00,797.00,2.00,1603.00
Male MS Patients,40-49,JCWMH,29,36.38,39.96,26.00,4.00,50.00,0.00,166.00
Male MS Patients,50-59,PEWMH,12,891.75,820.72,757.50,171.25,1424.75,59.00,2436.00
Male MS Patients,50-59,DWMH,12,359.00,306.07,270.00,107.75,631.25,9.00,923.00
Male MS Patients,50-59,JCWMH,12,24.92,17.61,20.50,15.00,30.00,6.00,68.00
Male MS Patients,60+,PEWMH,1,1891.00,N/A,1891.00,1891.00,1891.00,1891.00,1891.00
Male MS Patients,60+,DWMH,1,1204.00,N/A,1204.00,1204.00,1204.00,1204.00,1204.00
Male MS Patients,60+,JCWMH,1,30.00,N/A,30.00,30.00,30.00,30.00,30.00
