Subgroup,Age Group,Age Center,PEWMH Mean,DWMH Mean,JCWMH Mean,PEWMH N,DWMH N,JCWMH N,Total Mean
All MS Patients,18-29,23.5,381.83,263.81,27.58,90,90,90,673.22
All MS Patients,30-39,34.5,782.96,501.08,40.88,138,138,138,1324.93
All MS Patients,40-49,44.5,876.49,478.46,40.68,103,103,103,1395.62
All MS Patients,50-59,54.5,1048.22,404.87,43.44,45,45,45,1496.53
All MS Patients,60+,64.5,2184.00,943.60,64.40,5,5,5,3192.00
Female MS Patients,18-29,23.5,401.00,223.79,26.98,61,61,61,651.77
Female MS Patients,30-39,34.5,712.95,491.92,39.96,101,101,101,1244.83
Female MS Patients,40-49,44.5,892.72,486.24,42.36,74,74,74,1421.32
Female MS Patients,50-59,54.5,1105.12,421.55,50.18,33,33,33,1576.85
Female MS Patients,60+,64.5,2257.25,878.50,73.00,4,4,4,3208.75
Male MS Patients,18-29,23.5,341.52,348.00,28.83,29,29,29,718.34
Male MS Patients,30-39,34.5,974.08,526.08,43.41,37,37,37,1543.57
Male MS Patients,40-49,44.5,835.07,458.59,36.38,29,29,29,1330.03
Male MS Patients,50-59,54.5,891.75,359.00,24.92,12,12,12,1275.67
Male MS Patients,60+,64.5,1891.00,1204.00,30.00,1,1,1,3125.00
