Subgroup,Age Group,PEWMH Layer,DWMH Layer,JCWMH Layer,Total Height,PEWMH Contribution,DWMH Contribution,JCWMH Contribution,PEWMH %,DWMH %,JCWMH %
All MS Patients,18-29,0.00 to 381.83,381.83 to 645.64,645.64 to 673.22,673.22,381.83,263.81,27.58,56.7%,39.2%,4.1%
All MS Patients,30-39,0.00 to 782.96,782.96 to 1284.04,1284.04 to 1324.93,1324.93,782.96,501.08,40.88,59.1%,37.8%,3.1%
All MS Patients,40-49,0.00 to 876.49,876.49 to 1354.94,1354.94 to 1395.62,1395.62,876.49,478.46,40.68,62.8%,34.3%,2.9%
All MS Patients,50-59,0.00 to 1048.22,1048.22 to 1453.09,1453.09 to 1496.53,1496.53,1048.22,404.87,43.44,70.0%,27.1%,2.9%
All MS Patients,60+,0.00 to 2184.00,2184.00 to 3127.60,3127.60 to 3192.00,3192.00,2184.00,943.60,64.40,68.4%,29.6%,2.0%
Female MS Patients,18-29,0.00 to 401.00,401.00 to 624.79,624.79 to 651.77,651.77,401.00,223.79,26.98,61.5%,34.3%,4.1%
Female MS Patients,30-39,0.00 to 712.95,712.95 to 1204.87,1204.87 to 1244.83,1244.83,712.95,491.92,39.96,57.3%,39.5%,3.2%
Female MS Patients,40-49,0.00 to 892.72,892.72 to 1378.96,1378.96 to 1421.32,1421.32,892.72,486.24,42.36,62.8%,34.2%,3.0%
Female MS Patients,50-59,0.00 to 1105.12,1105.12 to 1526.67,1526.67 to 1576.85,1576.85,1105.12,421.55,50.18,70.1%,26.7%,3.2%
Female MS Patients,60+,0.00 to 2257.25,2257.25 to 3135.75,3135.75 to 3208.75,3208.75,2257.25,878.50,73.00,70.3%,27.4%,2.3%
Male MS Patients,18-29,0.00 to 341.52,341.52 to 689.52,689.52 to 718.34,718.34,341.52,348.00,28.83,47.5%,48.4%,4.0%
Male MS Patients,30-39,0.00 to 974.08,974.08 to 1500.16,1500.16 to 1543.57,1543.57,974.08,526.08,43.41,63.1%,34.1%,2.8%
Male MS Patients,40-49,0.00 to 835.07,835.07 to 1293.66,1293.66 to 1330.03,1330.03,835.07,458.59,36.38,62.8%,34.5%,2.7%
Male MS Patients,50-59,0.00 to 891.75,891.75 to 1250.75,1250.75 to 1275.67,1275.67,891.75,359.00,24.92,69.9%,28.1%,2.0%
Male MS Patients,60+,0.00 to 1891.00,1891.00 to 3095.00,3095.00 to 3125.00,3125.00,1891.00,1204.00,30.00,60.5%,38.5%,1.0%
