Subgroup,Age Group,Lesion Type,N,Mean,SD,Median,Q25,Q75,Min,Max
All MS Patients,18-29,PEWMH,90,49.15,23.58,50.61,33.35,64.61,0.00,100.00
All MS Patients,18-29,DWMH,90,41.67,23.14,43.37,26.11,56.56,0.00,100.00
All MS Patients,18-29,JCWMH,90,8.07,12.18,3.99,1.99,9.02,0.00,81.82
All MS Patients,30-39,PEWMH,138,51.24,19.11,51.52,41.08,62.42,0.00,100.00
All MS Patients,30-39,DWMH,138,41.45,17.51,42.82,30.46,53.17,0.00,80.00
All MS Patients,30-39,JCWMH,138,7.31,10.66,4.01,1.58,7.58,0.00,68.00
All MS Patients,40-49,PEWMH,103,56.97,19.99,58.44,44.25,70.34,11.86,100.00
All MS Patients,40-49,DWMH,103,37.69,18.62,36.88,26.69,50.48,0.00,85.59
All MS Patients,40-49,JCWMH,103,5.34,5.79,3.42,1.35,6.93,0.00,28.02
All MS Patients,50-59,PEWMH,45,63.49,16.67,64.32,56.89,74.76,17.10,96.22
All MS Patients,50-59,DWMH,45,30.78,13.58,31.23,22.95,37.86,0.00,70.21
All MS Patients,50-59,JCWMH,45,5.73,7.31,3.09,1.81,6.10,0.00,33.68
All MS Patients,60+,PEWMH,5,64.18,9.75,62.94,60.51,64.33,53.26,79.86
All MS Patients,60+,DWMH,5,33.06,9.06,36.78,33.52,38.53,17.33,39.13
All MS Patients,60+,JCWMH,5,2.76,2.89,2.15,0.96,2.81,0.27,7.61
Female MS Patients,18-29,PEWMH,61,50.41,25.35,52.54,33.41,67.41,0.00,100.00
Female MS Patients,18-29,DWMH,61,38.68,24.88,35.66,23.33,53.42,0.00,100.00
Female MS Patients,18-29,JCWMH,61,9.28,14.16,3.65,1.95,10.05,0.00,81.82
Female MS Patients,30-39,PEWMH,101,50.53,18.67,51.06,40.45,61.29,0.00,88.57
Female MS Patients,30-39,DWMH,101,42.11,17.90,43.43,31.33,54.06,0.00,80.00
Female MS Patients,30-39,JCWMH,101,7.36,10.89,4.19,1.56,6.97,0.00,68.00
Female MS Patients,40-49,PEWMH,74,55.48,20.60,57.14,41.62,68.83,11.86,100.00
Female MS Patients,40-49,DWMH,74,38.76,19.32,38.78,28.43,51.37,0.00,85.59
Female MS Patients,40-49,JCWMH,74,5.76,5.95,4.00,1.59,7.24,0.00,28.02
Female MS Patients,50-59,PEWMH,33,62.95,17.91,64.31,56.69,75.67,17.10,96.22
Female MS Patients,50-59,DWMH,33,30.65,14.20,31.23,21.45,37.66,0.00,70.21
Female MS Patients,50-59,JCWMH,33,6.40,8.25,3.51,1.87,6.93,0.00,33.68
Female MS Patients,60+,PEWMH,4,65.10,11.00,63.64,60.52,68.21,53.26,79.86
Female MS Patients,60+,DWMH,4,31.69,9.85,35.15,29.47,37.37,17.33,39.13
Female MS Patients,60+,JCWMH,4,3.21,3.12,2.48,1.68,4.01,0.27,7.61
Male MS Patients,18-29,PEWMH,29,46.51,19.49,47.59,32.29,54.31,11.76,100.00
Male MS Patients,18-29,DWMH,29,47.96,17.73,49.32,38.90,58.82,0.00,74.94
Male MS Patients,18-29,JCWMH,29,5.53,5.62,4.27,2.13,6.99,0.00,29.41
Male MS Patients,30-39,PEWMH,37,53.15,20.43,53.64,42.27,64.66,0.00,100.00
Male MS Patients,30-39,DWMH,37,39.67,16.52,39.33,30.28,50.34,0.00,75.00
Male MS Patients,30-39,JCWMH,37,7.19,10.18,2.67,1.63,10.45,0.00,50.67
Male MS Patients,40-49,PEWMH,29,60.76,18.13,63.64,50.09,72.59,20.33,95.56
Male MS Patients,40-49,DWMH,29,34.98,16.72,31.17,25.01,46.39,2.22,72.11
Male MS Patients,40-49,JCWMH,29,4.26,5.31,2.80,0.89,4.47,0.00,19.08
Male MS Patients,50-59,PEWMH,12,64.97,13.21,65.98,57.66,73.73,42.75,86.81
Male MS Patients,50-59,DWMH,12,31.13,12.27,31.57,25.02,40.33,10.71,49.50
Male MS Patients,50-59,JCWMH,12,3.90,3.32,2.79,1.60,4.98,0.55,11.59
Male MS Patients,60+,PEWMH,1,60.51,N/A,60.51,60.51,60.51,60.51,60.51
Male MS Patients,60+,DWMH,1,38.53,N/A,38.53,38.53,38.53,38.53,38.53
Male MS Patients,60+,JCWMH,1,0.96,N/A,0.96,0.96,0.96,0.96,0.96
