Subgroup,Age Group,Age Center,PEWMH Mean,DWMH Mean,JCWMH Mean,PEWMH N,DWMH N,JCWMH N,Total Mean
All MS Patients,18-29,23.5,49.15,41.67,8.07,90,90,90,98.89
All MS Patients,30-39,34.5,51.24,41.45,7.31,138,138,138,100.00
All MS Patients,40-49,44.5,56.97,37.69,5.34,103,103,103,100.00
All MS Patients,50-59,54.5,63.49,30.78,5.73,45,45,45,100.00
All MS Patients,60+,64.5,64.18,33.06,2.76,5,5,5,100.00
Female MS Patients,18-29,23.5,50.41,38.68,9.28,61,61,61,98.36
Female MS Patients,30-39,34.5,50.53,42.11,7.36,101,101,101,100.00
Female MS Patients,40-49,44.5,55.48,38.76,5.76,74,74,74,100.00
Female MS Patients,50-59,54.5,62.95,30.65,6.40,33,33,33,100.00
Female MS Patients,60+,64.5,65.10,31.69,3.21,4,4,4,100.00
Male MS Patients,18-29,23.5,46.51,47.96,5.53,29,29,29,100.00
Male MS Patients,30-39,34.5,53.15,39.67,7.19,37,37,37,100.00
Male MS Patients,40-49,44.5,60.76,34.98,4.26,29,29,29,100.00
Male MS Patients,50-59,54.5,64.97,31.13,3.90,12,12,12,100.00
Male MS Patients,60+,64.5,60.51,38.53,0.96,1,1,1,100.00
