Subgroup,Age Group,PEWMH Layer,DWMH Layer,JCWMH Layer,Total Height,PEWMH Contribution,DWMH Contribution,JCWMH Contribution,PEWMH %,DWMH %,JCWMH %
All MS Patients,18-29,0.00 to 49.15,49.15 to 90.82,90.82 to 98.89,98.89,49.15,41.67,8.07,49.7%,42.1%,8.2%
All MS Patients,30-39,0.00 to 51.24,51.24 to 92.69,92.69 to 100.00,100.00,51.24,41.45,7.31,51.2%,41.5%,7.3%
All MS Patients,40-49,0.00 to 56.97,56.97 to 94.66,94.66 to 100.00,100.00,56.97,37.69,5.34,57.0%,37.7%,5.3%
All MS Patients,50-59,0.00 to 63.49,63.49 to 94.27,94.27 to 100.00,100.00,63.49,30.78,5.73,63.5%,30.8%,5.7%
All MS Patients,60+,0.00 to 64.18,64.18 to 97.24,97.24 to 100.00,100.00,64.18,33.06,2.76,64.2%,33.1%,2.8%
Female MS Patients,18-29,0.00 to 50.41,50.41 to 89.08,89.08 to 98.36,98.36,50.41,38.68,9.28,51.2%,39.3%,9.4%
Female MS Patients,30-39,0.00 to 50.53,50.53 to 92.64,92.64 to 100.00,100.00,50.53,42.11,7.36,50.5%,42.1%,7.4%
Female MS Patients,40-49,0.00 to 55.48,55.48 to 94.24,94.24 to 100.00,100.00,55.48,38.76,5.76,55.5%,38.8%,5.8%
Female MS Patients,50-59,0.00 to 62.95,62.95 to 93.60,93.60 to 100.00,100.00,62.95,30.65,6.40,62.9%,30.6%,6.4%
Female MS Patients,60+,0.00 to 65.10,65.10 to 96.79,96.79 to 100.00,100.00,65.10,31.69,3.21,65.1%,31.7%,3.2%
Male MS Patients,18-29,0.00 to 46.51,46.51 to 94.47,94.47 to 100.00,100.00,46.51,47.96,5.53,46.5%,48.0%,5.5%
Male MS Patients,30-39,0.00 to 53.15,53.15 to 92.81,92.81 to 100.00,100.00,53.15,39.67,7.19,53.1%,39.7%,7.2%
Male MS Patients,40-49,0.00 to 60.76,60.76 to 95.74,95.74 to 100.00,100.00,60.76,34.98,4.26,60.8%,35.0%,4.3%
Male MS Patients,50-59,0.00 to 64.97,64.97 to 96.10,96.10 to 100.00,100.00,64.97,31.13,3.90,65.0%,31.1%,3.9%
Male MS Patients,60+,0.00 to 60.51,60.51 to 99.04,99.04 to 100.00,100.00,60.51,38.53,0.96,60.5%,38.5%,1.0%
