Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,2355.98,894.93,1461.05,38.0%,62.0%,34.9%,65.1%,315
HC,30-39,2547.06,816.64,1730.42,32.1%,67.9%,29.0%,71.0%,379
HC,40-49,2716.84,978.29,1738.54,36.0%,64.0%,34.8%,65.2%,221
HC,50-59,2857.67,1167.14,1690.53,40.8%,59.2%,33.3%,66.7%,72
HC,60+,3626.55,1926.18,1700.36,53.1%,46.9%,45.5%,54.5%,11
MS,18-29,3070.43,1108.43,1962.00,36.1%,63.9%,32.2%,67.8%,90
MS,30-39,3661.83,1054.51,2607.32,28.8%,71.2%,26.8%,73.2%,138
MS,40-49,4115.00,1159.55,2955.45,28.2%,71.8%,28.2%,71.8%,103
MS,50-59,4873.64,1369.36,3504.29,28.1%,71.9%,26.7%,73.3%,45
MS,60+,5564.60,1144.20,4420.40,20.6%,79.4%,20.0%,80.0%,5
