Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,110,2562.76,871.32,476.00,6322.00,2459.50,2023.84,2895.16
HC,18-29,Female,205,2245.02,850.38,792.00,6033.00,2102.00,1676.81,2527.19
HC,30-39,Male,110,2813.69,1029.68,1197.00,6137.00,2521.00,2006.16,3035.84
HC,30-39,Female,269,2438.02,872.12,757.00,5922.00,2311.00,1874.94,2747.06
HC,40-49,Male,77,2807.83,848.19,1349.00,4949.00,2605.00,2180.90,3029.10
HC,40-49,Female,144,2668.18,917.34,838.00,5646.00,2622.00,2163.33,3080.67
HC,50-59,Male,24,3501.42,1207.15,1460.00,6063.00,3394.50,2790.92,3998.08
HC,50-59,Female,48,2535.79,778.14,1245.00,4391.00,2372.50,1983.43,2761.57
HC,60+,Male,5,4237.60,2671.16,2228.00,8778.00,3230.00,1894.42,4565.58
HC,60+,Female,6,3117.33,951.69,1923.00,4632.00,2896.00,2420.16,3371.84
MS,18-29,Male,29,3439.97,1369.87,1770.00,8047.00,3357.00,2672.07,4041.93
MS,18-29,Female,61,2894.75,1037.32,928.00,6445.00,2812.00,2293.34,3330.66
MS,30-39,Male,37,3933.03,1589.78,1820.00,8205.00,3800.00,3005.11,4594.89
MS,30-39,Female,101,3562.48,1795.23,289.00,13472.00,3203.00,2305.38,4100.62
MS,40-49,Male,29,4118.41,2056.42,1495.00,9963.00,3418.00,2389.79,4446.21
MS,40-49,Female,74,4113.66,1935.59,1613.00,13139.00,3667.50,2699.71,4635.29
MS,50-59,Male,12,5135.08,1574.45,1899.00,7662.00,5511.00,4723.78,6298.22
MS,50-59,Female,33,4778.58,1940.86,2134.00,10043.00,4231.00,3260.57,5201.43
MS,60+,Male,1,5721.00,N/A,5721.00,5721.00,5721.00,nan,nan
MS,60+,Female,4,5525.50,1833.12,3876.00,8139.00,5043.50,4126.94,5960.06
