Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 2562.76,2562.76 to 4807.79,4807.79,2562.76,2245.02
HC,30-39,0.00 to 2813.69,2813.69 to 5251.71,5251.71,2813.69,2438.02
HC,40-49,0.00 to 2807.83,2807.83 to 5476.01,5476.01,2807.83,2668.18
HC,50-59,0.00 to 3501.42,3501.42 to 6037.21,6037.21,3501.42,2535.79
HC,60+,0.00 to 4237.60,4237.60 to 7354.93,7354.93,4237.60,3117.33
MS,18-29,0.00 to 3439.97,3439.97 to 6334.72,6334.72,3439.97,2894.75
MS,30-39,0.00 to 3933.03,3933.03 to 7495.50,7495.50,3933.03,3562.48
MS,40-49,0.00 to 4118.41,4118.41 to 8232.08,8232.08,4118.41,4113.66
MS,50-59,0.00 to 5135.08,5135.08 to 9913.66,9913.66,5135.08,4778.58
MS,60+,0.00 to 5721.00,5721.00 to 11246.50,11246.50,5721.00,5525.50
