Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,1.06,0.37,0.69,35.2%,64.8%,34.9%,65.1%,315
HC,30-39,1.16,0.34,0.82,29.5%,70.5%,29.0%,71.0%,379
HC,40-49,1.24,0.42,0.81,34.1%,65.9%,34.8%,65.2%,221
HC,50-59,1.32,0.50,0.82,38.2%,61.8%,33.3%,66.7%,72
HC,60+,1.63,0.83,0.80,51.1%,48.9%,45.5%,54.5%,11
MS,18-29,1.39,0.47,0.92,33.9%,66.1%,32.2%,67.8%,90
MS,30-39,1.73,0.46,1.27,26.6%,73.4%,26.8%,73.2%,138
MS,40-49,1.98,0.54,1.44,27.1%,72.9%,28.2%,71.8%,103
MS,50-59,2.37,0.63,1.74,26.7%,73.3%,26.7%,73.3%,45
MS,60+,2.79,0.57,2.21,20.6%,79.4%,20.0%,80.0%,5
