Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,106.34,37.39,68.95,35.2%,64.8%,34.9%,65.1%,315
HC,30-39,116.21,34.32,81.89,29.5%,70.5%,29.0%,71.0%,379
HC,40-49,123.61,42.18,81.42,34.1%,65.9%,34.8%,65.2%,221
HC,50-59,132.11,50.41,81.71,38.2%,61.8%,33.3%,66.7%,72
HC,60+,163.43,83.46,79.97,51.1%,48.9%,45.5%,54.5%,11
MS,18-29,139.42,47.25,92.17,33.9%,66.1%,32.2%,67.8%,90
MS,30-39,173.16,46.07,127.09,26.6%,73.4%,26.8%,73.2%,138
MS,40-49,197.85,53.69,144.17,27.1%,72.9%,28.2%,71.8%,103
MS,50-59,236.74,63.13,173.61,26.7%,73.3%,26.7%,73.3%,45
MS,60+,278.62,57.39,221.23,20.6%,79.4%,20.0%,80.0%,5
