Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,110,1.07,0.34,0.26,2.67,1.02,0.85,1.19
HC,18-29,Female,205,1.06,0.38,0.39,2.72,0.99,0.80,1.18
HC,30-39,Male,110,1.18,0.42,0.63,2.40,1.08,0.87,1.29
HC,30-39,Female,269,1.15,0.40,0.36,2.94,1.09,0.89,1.29
HC,40-49,Male,77,1.21,0.35,0.57,2.19,1.17,0.99,1.34
HC,40-49,Female,144,1.25,0.41,0.45,2.52,1.23,1.02,1.43
HC,50-59,Male,24,1.51,0.52,0.61,2.45,1.41,1.15,1.67
HC,50-59,Female,48,1.23,0.36,0.63,2.15,1.14,0.96,1.32
HC,60+,Male,5,1.84,1.09,0.96,3.66,1.42,0.87,1.96
HC,60+,Female,6,1.47,0.33,1.00,1.98,1.44,1.27,1.61
MS,18-29,Male,29,1.47,0.55,0.84,3.28,1.39,1.12,1.67
MS,18-29,Female,61,1.36,0.48,0.48,3.13,1.33,1.09,1.57
MS,30-39,Male,37,1.72,0.67,0.77,3.42,1.55,1.22,1.89
MS,30-39,Female,101,1.74,0.83,0.15,5.73,1.54,1.12,1.95
MS,40-49,Male,29,1.91,0.98,0.61,4.56,1.49,1.00,1.98
MS,40-49,Female,74,2.01,0.91,0.73,5.72,1.82,1.36,2.28
MS,50-59,Male,12,2.37,0.70,0.88,3.19,2.60,2.25,2.95
MS,50-59,Female,33,2.37,0.97,1.03,4.37,1.94,1.45,2.42
MS,60+,Male,1,2.87,N/A,2.87,2.87,2.87,nan,nan
MS,60+,Female,4,2.77,1.02,1.92,4.25,2.45,1.94,2.96
