Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,110,107.07,34.19,25.78,267.16,101.69,84.59,118.78
HC,18-29,Female,205,105.95,38.43,38.92,271.92,99.01,79.80,118.22
HC,30-39,Male,110,118.25,41.55,63.43,239.62,108.16,87.39,128.94
HC,30-39,Female,269,115.38,40.13,36.33,294.37,108.71,88.65,128.78
HC,40-49,Male,77,121.07,34.85,57.12,219.08,116.71,99.28,134.13
HC,40-49,Female,144,124.96,40.84,45.19,252.01,122.54,102.13,142.96
HC,50-59,Male,24,151.22,52.31,61.11,244.56,140.78,114.62,166.94
HC,50-59,Female,48,122.56,36.09,63.20,214.81,113.60,95.55,131.64
HC,60+,Male,5,183.62,109.37,96.14,366.19,141.79,87.10,196.47
HC,60+,Female,6,146.60,33.49,100.34,198.40,144.12,127.37,160.86
MS,18-29,Male,29,146.63,55.08,84.44,328.50,139.15,111.61,166.69
MS,18-29,Female,61,135.99,48.14,47.69,313.28,133.21,109.14,157.28
MS,30-39,Male,37,171.83,67.21,77.37,342.01,155.21,121.61,188.82
MS,30-39,Female,101,173.65,83.35,14.64,572.92,153.53,111.86,195.20
MS,40-49,Male,29,190.68,97.91,61.01,456.06,148.71,99.76,197.67
MS,40-49,Female,74,200.66,91.07,72.57,572.21,181.97,136.43,227.50
MS,50-59,Male,12,236.74,69.62,88.32,319.37,260.25,225.44,295.06
MS,50-59,Female,33,236.74,96.95,103.08,437.34,193.96,145.49,242.44
MS,60+,Male,1,286.94,N/A,286.94,286.94,286.94,nan,nan
MS,60+,Female,4,276.54,102.04,192.32,424.55,244.65,193.63,295.67
