Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,110,0.59,0.19,0.14,1.36,0.56,0.46,0.65
HC,18-29,Female,205,0.57,0.21,0.22,1.53,0.54,0.43,0.64
HC,30-39,Male,110,0.63,0.22,0.33,1.33,0.59,0.47,0.70
HC,30-39,Female,269,0.61,0.21,0.20,1.58,0.58,0.47,0.68
HC,40-49,Male,77,0.64,0.19,0.34,1.12,0.58,0.49,0.67
HC,40-49,Female,144,0.66,0.22,0.26,1.34,0.65,0.54,0.76
HC,50-59,Male,24,0.79,0.27,0.33,1.38,0.73,0.59,0.87
HC,50-59,Female,48,0.64,0.20,0.33,1.12,0.60,0.50,0.70
HC,60+,Male,5,0.98,0.62,0.51,2.05,0.70,0.39,1.02
HC,60+,Female,6,0.79,0.19,0.53,1.06,0.80,0.70,0.89
MS,18-29,Male,29,0.77,0.29,0.44,1.70,0.73,0.59,0.87
MS,18-29,Female,61,0.72,0.26,0.25,1.57,0.69,0.56,0.82
MS,30-39,Male,37,0.91,0.38,0.42,2.06,0.76,0.57,0.95
MS,30-39,Female,101,0.90,0.46,0.07,3.49,0.82,0.59,1.04
MS,40-49,Male,29,0.95,0.46,0.37,2.23,0.77,0.54,1.00
MS,40-49,Female,74,1.03,0.48,0.37,3.20,0.97,0.73,1.21
MS,50-59,Male,12,1.20,0.35,0.46,1.74,1.33,1.15,1.50
MS,50-59,Female,33,1.19,0.47,0.50,2.37,1.08,0.84,1.32
MS,60+,Male,1,1.38,N/A,1.38,1.38,1.38,nan,nan
MS,60+,Female,4,1.38,0.50,0.96,2.11,1.23,0.98,1.48
