Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,110,58.84,18.88,14.05,136.02,55.67,46.23,65.11
HC,18-29,Female,205,57.03,21.04,22.45,152.95,53.77,43.25,64.29
HC,30-39,Male,110,63.43,22.26,32.79,133.39,58.53,47.40,69.66
HC,30-39,Female,269,61.30,21.19,19.68,158.17,57.59,46.99,68.19
HC,40-49,Male,77,63.79,18.68,33.58,111.81,57.99,48.65,67.33
HC,40-49,Female,144,66.50,22.41,25.58,133.61,64.86,53.65,76.06
HC,50-59,Male,24,79.17,27.42,33.32,137.54,72.86,59.15,86.57
HC,50-59,Female,48,64.44,20.12,33.19,112.11,59.71,49.65,69.77
HC,60+,Male,5,97.96,62.41,51.46,204.64,70.42,39.21,101.62
HC,60+,Female,6,79.41,19.19,53.07,106.36,79.52,69.93,89.12
MS,18-29,Male,29,77.34,28.56,44.45,170.05,73.16,58.88,87.45
MS,18-29,Female,61,72.47,25.97,25.43,156.59,69.02,56.04,82.01
MS,30-39,Male,37,90.69,37.65,41.65,206.39,76.29,57.46,95.11
MS,30-39,Female,101,90.14,45.60,7.13,348.70,81.53,58.73,104.33
MS,40-49,Male,29,95.40,46.14,36.53,222.67,77.23,54.16,100.30
MS,40-49,Female,74,103.01,48.31,36.76,320.15,97.07,72.91,121.23
MS,50-59,Male,12,119.72,35.07,46.37,174.04,132.55,115.02,150.09
MS,50-59,Female,33,118.71,47.49,50.47,237.04,107.78,84.03,131.52
MS,60+,Male,1,137.53,N/A,137.53,137.53,137.53,nan,nan
MS,60+,Female,4,138.14,50.32,96.01,211.03,122.76,97.60,147.92
