Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 0.59,0.59 to 1.16,1.16,0.59,0.57
HC,30-39,0.00 to 0.63,0.63 to 1.25,1.25,0.63,0.61
HC,40-49,0.00 to 0.64,0.64 to 1.30,1.30,0.64,0.66
HC,50-59,0.00 to 0.79,0.79 to 1.44,1.44,0.79,0.64
HC,60+,0.00 to 0.98,0.98 to 1.77,1.77,0.98,0.79
MS,18-29,0.00 to 0.77,0.77 to 1.50,1.50,0.77,0.72
MS,30-39,0.00 to 0.91,0.91 to 1.81,1.81,0.91,0.90
MS,40-49,0.00 to 0.95,0.95 to 1.98,1.98,0.95,1.03
MS,50-59,0.00 to 1.20,1.20 to 2.38,2.38,1.20,1.19
MS,60+,0.00 to 1.38,1.38 to 2.76,2.76,1.38,1.38
