Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 58.84,58.84 to 115.86,115.86,58.84,57.03
HC,30-39,0.00 to 63.43,63.43 to 124.73,124.73,63.43,61.30
HC,40-49,0.00 to 63.79,63.79 to 130.28,130.28,63.79,66.50
HC,50-59,0.00 to 79.17,79.17 to 143.61,143.61,79.17,64.44
HC,60+,0.00 to 97.96,97.96 to 177.36,177.36,97.96,79.41
MS,18-29,0.00 to 77.34,77.34 to 149.81,149.81,77.34,72.47
MS,30-39,0.00 to 90.69,90.69 to 180.83,180.83,90.69,90.14
MS,40-49,0.00 to 95.40,95.40 to 198.41,198.41,95.40,103.01
MS,50-59,0.00 to 119.72,119.72 to 238.43,238.43,119.72,118.71
MS,60+,0.00 to 137.53,137.53 to 275.67,275.67,137.53,138.14
