Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 1.07,1.07 to 2.13,2.13,1.07,1.06
HC,30-39,0.00 to 1.18,1.18 to 2.34,2.34,1.18,1.15
HC,40-49,0.00 to 1.21,1.21 to 2.46,2.46,1.21,1.25
HC,50-59,0.00 to 1.51,1.51 to 2.74,2.74,1.51,1.23
HC,60+,0.00 to 1.84,1.84 to 3.30,3.30,1.84,1.47
MS,18-29,0.00 to 1.47,1.47 to 2.83,2.83,1.47,1.36
MS,30-39,0.00 to 1.72,1.72 to 3.45,3.45,1.72,1.74
MS,40-49,0.00 to 1.91,1.91 to 3.91,3.91,1.91,2.01
MS,50-59,0.00 to 2.37,2.37 to 4.73,4.73,2.37,2.37
MS,60+,0.00 to 2.87,2.87 to 5.63,5.63,2.87,2.77
