Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 107.07,107.07 to 213.02,213.02,107.07,105.95
HC,30-39,0.00 to 118.25,118.25 to 233.63,233.63,118.25,115.38
HC,40-49,0.00 to 121.07,121.07 to 246.03,246.03,121.07,124.96
HC,50-59,0.00 to 151.22,151.22 to 273.78,273.78,151.22,122.56
HC,60+,0.00 to 183.62,183.62 to 330.22,330.22,183.62,146.60
MS,18-29,0.00 to 146.63,146.63 to 282.62,282.62,146.63,135.99
MS,30-39,0.00 to 171.83,171.83 to 345.47,345.47,171.83,173.65
MS,40-49,0.00 to 190.68,190.68 to 391.34,391.34,190.68,200.66
MS,50-59,0.00 to 236.74,236.74 to 473.47,473.47,236.74,236.74
MS,60+,0.00 to 286.94,286.94 to 563.48,563.48,286.94,276.54
