Panel,Group,N,Age_Mean,Age_SD,Age_Median,Age_Q25,Age_Q75,Age_IQR,Age_Min,Age_Max,Age_Range
A,HC,910,35.0,10.2,35.0,27.0,41.0,14.0,18.0,74.0,56.0
A,MS,352,37.4,10.4,37.0,30.0,45.0,15.0,18.0,68.0,50.0
B,HC,910,35.0,10.2,35.0,27.0,41.0,14.0,18.0,74.0,56.0
B,MS,352,37.4,10.4,37.0,30.0,45.0,15.0,18.0,68.0,50.0
C,HC,626,35.0,9.9,35.0,28.0,41.0,13.0,18.0,74.0,56.0
C,MS,254,37.7,10.2,37.0,30.0,44.0,14.0,18.0,68.0,50.0
D,HC,626,35.0,9.9,35.0,28.0,41.0,13.0,18.0,74.0,56.0
D,MS,254,37.7,10.2,37.0,30.0,44.0,14.0,18.0,68.0,50.0
E,HC,284,35.0,10.8,35.0,26.0,42.0,16.0,18.0,72.0,54.0
E,MS,98,36.6,10.8,34.5,29.0,46.0,17.0,18.0,60.0,42.0
F,HC,284,35.0,10.8,35.0,26.0,42.0,16.0,18.0,72.0,54.0
F,MS,98,36.6,10.8,34.5,29.0,46.0,17.0,18.0,60.0,42.0
