Panel,Group,Regression_Successful,Polynomial_Degree,Coefficient_0,Coefficient_1,Coefficient_2,R_Squared,Age_Normalization_Mean,Age_Normalization_SD,Trend_Points,Error_Message
A,HC,Yes,2,0.431715,0.045442,-0.000562,0.059,35.0,10.2,100,None
A,MS,Yes,2,0.392154,0.045919,0.004060,0.070,37.4,10.4,100,None
B,HC,Yes,2,0.012655,-0.001442,0.001633,0.002,35.0,10.2,100,None
B,MS,Yes,2,0.158364,0.069107,0.015430,0.107,37.4,10.4,100,None
C,HC,Yes,2,0.441702,0.037594,-0.003194,0.037,35.0,9.9,100,None
C,MS,Yes,2,0.390539,0.046877,-0.004032,0.064,37.7,10.2,100,None
D,HC,Yes,2,0.010850,0.000083,0.000901,0.001,35.0,9.9,100,None
D,MS,Yes,2,0.153864,0.069410,0.014101,0.106,37.7,10.2,100,None
E,HC,Yes,2,0.409623,0.061011,0.005331,0.130,35.0,10.8,100,None
E,MS,Yes,2,0.392024,0.044037,0.029572,0.101,36.6,10.8,100,None
F,HC,Yes,2,0.017159,-0.004400,0.002730,0.031,35.0,10.8,100,None
F,MS,Yes,2,0.171222,0.070349,0.017849,0.115,36.6,10.8,100,None
