Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,19.18,10.15,9.02,53.0%,47.0%,33.9%,66.1%,280
HC,30-39,13.10,5.69,7.41,43.5%,56.5%,27.7%,72.3%,343
HC,40-49,15.88,6.33,9.55,39.9%,60.1%,32.4%,67.6%,204
HC,50-59,17.06,6.60,10.46,38.7%,61.3%,31.4%,68.6%,70
HC,60+,18.91,9.00,9.91,47.6%,52.4%,45.5%,54.5%,11
MS,18-29,96.78,46.09,50.69,47.6%,52.4%,32.6%,67.4%,86
MS,30-39,173.72,51.46,122.25,29.6%,70.4%,25.2%,74.8%,123
MS,40-49,229.01,65.34,163.67,28.5%,71.5%,27.4%,72.6%,95
MS,50-59,282.33,103.67,178.65,36.7%,63.3%,27.9%,72.1%,43
MS,60+,776.00,154.20,621.80,19.9%,80.1%,20.0%,80.0%,5
