Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,95,0.03,0.02,0.00,0.08,0.02,0.01,0.03
HC,18-29,Female,185,0.01,0.01,0.00,0.06,0.01,0.00,0.02
HC,30-39,Male,95,0.02,0.01,0.00,0.05,0.01,0.01,0.02
HC,30-39,Female,248,0.01,0.01,0.00,0.06,0.01,0.00,0.01
HC,40-49,Male,66,0.02,0.01,0.00,0.06,0.01,0.01,0.02
HC,40-49,Female,138,0.01,0.02,0.00,0.06,0.01,0.00,0.02
HC,50-59,Male,22,0.02,0.02,0.00,0.06,0.01,0.00,0.02
HC,50-59,Female,48,0.01,0.01,0.00,0.05,0.01,0.00,0.02
HC,60+,Male,5,0.02,0.01,0.00,0.03,0.02,0.01,0.03
HC,60+,Female,6,0.02,0.01,0.00,0.04,0.02,0.01,0.02
MS,18-29,Male,28,0.12,0.10,0.00,0.38,0.08,0.03,0.13
MS,18-29,Female,58,0.07,0.09,0.00,0.37,0.04,-0.01,0.08
MS,30-39,Male,31,0.18,0.22,0.00,0.85,0.10,-0.01,0.21
MS,30-39,Female,92,0.15,0.19,0.00,0.75,0.07,-0.03,0.16
MS,40-49,Male,26,0.20,0.21,0.00,0.62,0.14,0.04,0.25
MS,40-49,Female,69,0.21,0.24,0.00,0.95,0.10,-0.01,0.22
MS,50-59,Male,12,0.32,0.33,0.00,0.75,0.10,-0.06,0.27
MS,50-59,Female,31,0.23,0.22,0.00,0.74,0.16,0.05,0.27
MS,60+,Male,1,0.70,N/A,0.70,0.70,0.70,nan,nan
MS,60+,Female,4,0.72,0.71,0.01,1.35,0.76,0.40,1.11
