Group,Age Group,Male Layer (0 to Male),Female Layer (Male to Total),Total Height,Male Contribution,Female Contribution
HC,18-29,0.00 to 0.03,0.03 to 0.04,0.04,0.03,0.01
HC,30-39,0.00 to 0.02,0.02 to 0.03,0.03,0.02,0.01
HC,40-49,0.00 to 0.02,0.02 to 0.03,0.03,0.02,0.01
HC,50-59,0.00 to 0.02,0.02 to 0.03,0.03,0.02,0.01
HC,60+,0.00 to 0.02,0.02 to 0.03,0.03,0.02,0.02
MS,18-29,0.00 to 0.12,0.12 to 0.19,0.19,0.12,0.07
MS,30-39,0.00 to 0.18,0.18 to 0.33,0.33,0.18,0.15
MS,40-49,0.00 to 0.20,0.20 to 0.41,0.41,0.20,0.21
MS,50-59,0.00 to 0.32,0.32 to 0.55,0.55,0.32,0.23
MS,60+,0.00 to 0.70,0.70 to 1.42,1.42,0.70,0.72
