Subgroup,Age Group,PEWMH Layer,PAWMH Layer,JCWMH Layer,Total Height,PEWMH Contribution,PAWMH Contribution,JCWMH Contribution,PEWMH %,PAWMH %,JCWMH %
All MS Patients,18-29,0.00 to 48.12,48.12 to 77.86,77.86 to 96.78,96.78,48.12,29.74,18.92,49.7%,30.7%,19.5%
All MS Patients,30-39,0.00 to 95.78,95.78 to 143.23,143.23 to 173.72,173.72,95.78,47.45,30.49,55.1%,27.3%,17.6%
All MS Patients,40-49,0.00 to 142.45,142.45 to 191.72,191.72 to 229.01,229.01,142.45,49.26,37.29,62.2%,21.5%,16.3%
All MS Patients,50-59,0.00 to 196.16,196.16 to 253.33,253.33 to 282.33,282.33,196.16,57.16,29.00,69.5%,20.2%,10.3%
All MS Patients,60+,0.00 to 586.00,586.00 to 689.20,689.20 to 776.00,776.00,586.00,103.20,86.80,75.5%,13.3%,11.2%
Female MS Patients,18-29,0.00 to 36.79,36.79 to 61.40,61.40 to 75.16,75.16,36.79,24.60,13.76,49.0%,32.7%,18.3%
Female MS Patients,30-39,0.00 to 88.00,88.00 to 135.37,135.37 to 163.45,163.45,88.00,47.37,28.08,53.8%,29.0%,17.2%
Female MS Patients,40-49,0.00 to 137.70,137.70 to 187.06,187.06 to 225.35,225.35,137.70,49.36,38.29,61.1%,21.9%,17.0%
Female MS Patients,50-59,0.00 to 172.97,172.97 to 219.00,219.00 to 247.81,247.81,172.97,46.03,28.81,69.8%,18.6%,11.6%
Female MS Patients,60+,0.00 to 596.00,596.00 to 692.50,692.50 to 777.25,777.25,596.00,96.50,84.75,76.7%,12.4%,10.9%
Male MS Patients,18-29,0.00 to 71.57,71.57 to 111.96,111.96 to 141.57,141.57,71.57,40.39,29.61,50.6%,28.5%,20.9%
Male MS Patients,30-39,0.00 to 118.87,118.87 to 166.55,166.55 to 204.19,204.19,118.87,47.68,37.65,58.2%,23.3%,18.4%
Male MS Patients,40-49,0.00 to 155.08,155.08 to 204.08,204.08 to 238.73,238.73,155.08,49.00,34.65,65.0%,20.5%,14.5%
Male MS Patients,50-59,0.00 to 256.08,256.08 to 342.00,342.00 to 371.50,371.50,256.08,85.92,29.50,68.9%,23.1%,7.9%
Male MS Patients,60+,0.00 to 546.00,546.00 to 676.00,676.00 to 771.00,771.00,546.00,130.00,95.00,70.8%,16.9%,12.3%
