Subgroup,Age Group,Lesion Type,N,Mean,SD,Median,Q25,Q75,Min,Max
All MS Patients,18-29,PEWMH,86,43.72,31.53,46.53,14.58,72.59,0.00,100.00
All MS Patients,18-29,PAWMH,86,22.22,26.79,11.51,0.00,38.11,0.00,100.00
All MS Patients,18-29,JCWMH,86,22.43,25.50,16.24,0.00,30.86,0.00,100.00
All MS Patients,30-39,PEWMH,123,49.68,28.62,50.23,30.16,72.57,0.00,100.00
All MS Patients,30-39,PAWMH,123,24.10,22.86,20.00,4.92,39.58,0.00,100.00
All MS Patients,30-39,JCWMH,123,21.35,21.29,16.67,6.38,27.69,0.00,100.00
All MS Patients,40-49,PEWMH,95,53.20,27.41,55.43,35.74,73.23,0.00,100.00
All MS Patients,40-49,PAWMH,95,22.78,21.16,19.51,8.03,31.14,0.00,100.00
All MS Patients,40-49,JCWMH,95,21.91,20.58,16.04,6.65,31.89,0.00,100.00
All MS Patients,50-59,PEWMH,43,66.66,22.71,69.74,61.50,80.76,0.00,100.00
All MS Patients,50-59,PAWMH,43,20.89,21.38,18.60,6.95,24.20,0.00,100.00
All MS Patients,50-59,JCWMH,43,12.45,11.34,9.26,3.88,17.17,0.00,45.00
All MS Patients,60+,PEWMH,5,71.43,14.04,74.19,70.82,80.00,48.05,84.08
All MS Patients,60+,PAWMH,5,14.67,3.79,13.99,11.69,16.86,10.81,20.00
All MS Patients,60+,JCWMH,5,13.90,15.59,11.82,5.12,12.32,0.00,40.26
Female MS Patients,18-29,PEWMH,58,41.85,33.59,45.02,0.15,71.77,0.00,100.00
Female MS Patients,18-29,PAWMH,58,19.79,26.00,7.51,0.00,29.50,0.00,100.00
Female MS Patients,18-29,JCWMH,58,21.13,26.12,15.92,0.00,27.41,0.00,100.00
Female MS Patients,30-39,PEWMH,92,47.90,28.97,50.00,29.57,70.34,0.00,100.00
Female MS Patients,30-39,PAWMH,92,25.87,24.68,20.13,5.06,42.56,0.00,100.00
Female MS Patients,30-39,JCWMH,92,21.89,22.30,16.19,8.01,27.64,0.00,100.00
Female MS Patients,40-49,PEWMH,69,48.71,27.01,52.15,28.98,68.92,0.00,100.00
Female MS Patients,40-49,PAWMH,69,24.16,22.82,19.51,7.95,31.52,0.00,100.00
Female MS Patients,40-49,JCWMH,69,24.23,21.79,17.69,7.69,32.20,0.00,100.00
Female MS Patients,50-59,PEWMH,31,66.84,24.99,69.93,61.50,82.61,0.00,100.00
Female MS Patients,50-59,PAWMH,31,19.37,23.10,10.29,5.59,22.28,0.00,100.00
Female MS Patients,50-59,JCWMH,31,13.80,11.77,11.76,4.72,17.54,0.00,45.00
Female MS Patients,60+,PEWMH,4,71.58,16.20,77.09,67.65,81.02,48.05,84.08
Female MS Patients,60+,PAWMH,4,14.12,4.14,12.84,11.47,15.49,10.81,20.00
Female MS Patients,60+,JCWMH,4,14.30,17.97,8.47,3.84,18.93,0.00,40.26
Male MS Patients,18-29,PEWMH,28,47.60,26.93,51.49,30.11,71.76,0.00,87.74
Male MS Patients,18-29,PAWMH,28,27.25,28.16,18.57,6.53,39.79,0.00,100.00
Male MS Patients,18-29,JCWMH,28,25.15,24.40,17.69,9.55,31.85,0.00,100.00
Male MS Patients,30-39,PEWMH,31,54.96,27.35,53.33,41.21,75.72,0.00,100.00
Male MS Patients,30-39,PAWMH,31,18.86,15.50,18.91,4.92,30.46,0.00,48.68
Male MS Patients,30-39,JCWMH,31,19.73,18.19,18.60,4.95,27.99,0.00,75.86
Male MS Patients,40-49,PEWMH,26,65.10,25.29,67.95,52.86,81.46,0.00,100.00
Male MS Patients,40-49,PAWMH,26,19.12,15.73,19.09,9.64,27.29,0.00,70.00
Male MS Patients,40-49,JCWMH,26,15.78,15.71,11.98,0.09,28.88,0.00,44.05
Male MS Patients,50-59,PEWMH,12,66.22,16.29,67.35,61.62,72.93,35.71,100.00
Male MS Patients,50-59,PAWMH,12,24.83,16.32,20.56,18.99,29.51,0.00,64.29
Male MS Patients,50-59,JCWMH,12,8.95,9.72,6.13,2.85,12.95,0.00,34.78
Male MS Patients,60+,PEWMH,1,70.82,N/A,70.82,70.82,70.82,70.82,70.82
Male MS Patients,60+,PAWMH,1,16.86,N/A,16.86,16.86,16.86,16.86,16.86
Male MS Patients,60+,JCWMH,1,12.32,N/A,12.32,12.32,12.32,12.32,12.32
