Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,409.41,140.80,268.60,34.4%,65.6%,33.9%,66.1%,280
HC,30-39,494.22,141.70,352.52,28.7%,71.3%,27.7%,72.3%,343
HC,40-49,509.65,167.94,341.72,33.0%,67.0%,32.4%,67.6%,204
HC,50-59,588.73,223.60,365.13,38.0%,62.0%,31.4%,68.6%,70
HC,60+,637.82,316.09,321.73,49.6%,50.4%,45.5%,54.5%,11
MS,18-29,385.88,160.94,224.94,41.7%,58.3%,32.6%,67.4%,86
MS,30-39,421.46,110.07,311.38,26.1%,73.9%,25.2%,74.8%,123
MS,40-49,447.31,131.31,316.00,29.4%,70.6%,27.4%,72.6%,95
MS,50-59,572.02,202.67,369.35,35.4%,64.6%,27.9%,72.1%,43
MS,60+,569.60,106.40,463.20,18.7%,81.3%,20.0%,80.0%,5
