Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,95,415.00,164.52,82.00,941.00,409.00,326.74,491.26
HC,18-29,Female,185,406.54,160.24,86.00,873.00,398.00,317.88,478.12
HC,30-39,Male,95,511.60,210.27,160.00,1171.00,458.00,352.86,563.14
HC,30-39,Female,248,487.56,230.96,52.00,1991.00,457.50,342.02,572.98
HC,40-49,Male,66,519.08,163.98,161.00,899.00,523.00,441.01,604.99
HC,40-49,Female,138,505.14,191.25,89.00,1033.00,497.50,401.88,593.12
HC,50-59,Male,22,711.45,288.30,138.00,1168.00,730.50,586.35,874.65
HC,50-59,Female,48,532.48,176.50,163.00,1034.00,522.50,434.25,610.75
HC,60+,Male,5,695.40,570.25,239.00,1641.00,645.00,359.88,930.12
HC,60+,Female,6,589.83,182.07,339.00,802.00,602.00,510.97,693.03
MS,18-29,Male,28,494.32,214.71,243.00,1361.00,444.50,337.15,551.85
MS,18-29,Female,58,333.53,140.09,79.00,880.00,315.50,245.46,385.54
MS,30-39,Male,31,436.74,148.74,188.00,909.00,404.00,329.63,478.37
MS,30-39,Female,92,416.30,222.14,30.00,1955.00,370.50,259.43,481.57
MS,40-49,Male,26,479.77,173.19,184.00,781.00,486.00,399.41,572.59
MS,40-49,Female,69,435.07,183.78,175.00,1522.00,409.00,317.11,500.89
MS,50-59,Male,12,726.25,242.73,169.00,980.00,796.00,674.63,917.37
MS,50-59,Female,31,512.32,207.59,225.00,1055.00,469.00,365.21,572.79
MS,60+,Male,1,532.00,N/A,532.00,532.00,532.00,nan,nan
MS,60+,Female,4,579.00,222.98,406.00,876.00,517.00,405.51,628.49
