Group,Age_Group,Combined_Mean,Male_Contribution,Female_Contribution,Male_Prop_of_Mean,Female_Prop_of_Mean,Male_Sample_Prop,Female_Sample_Prop,Total_N
HC,18-29,0.37,0.12,0.25,32.1%,67.9%,33.9%,66.1%,280
HC,30-39,0.44,0.12,0.33,26.2%,73.8%,27.7%,72.3%,343
HC,40-49,0.45,0.14,0.31,30.7%,69.3%,32.4%,67.6%,204
HC,50-59,0.53,0.19,0.34,35.1%,64.9%,31.4%,68.6%,70
HC,60+,0.57,0.26,0.31,46.1%,53.9%,45.5%,54.5%,11
MS,18-29,0.34,0.13,0.21,38.6%,61.4%,32.6%,67.4%,86
MS,30-39,0.38,0.09,0.29,24.1%,75.9%,25.2%,74.8%,123
MS,40-49,0.40,0.11,0.29,27.9%,72.1%,27.4%,72.6%,95
MS,50-59,0.51,0.17,0.34,33.7%,66.3%,27.9%,72.1%,43
MS,60+,0.52,0.10,0.43,18.4%,81.6%,20.0%,80.0%,5
