Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,95,0.35,0.14,0.09,0.78,0.34,0.27,0.41
HC,18-29,Female,185,0.38,0.15,0.09,0.84,0.37,0.29,0.44
HC,30-39,Male,95,0.42,0.17,0.12,0.93,0.40,0.31,0.48
HC,30-39,Female,248,0.45,0.22,0.05,2.08,0.44,0.33,0.55
HC,40-49,Male,66,0.43,0.13,0.15,0.72,0.42,0.36,0.49
HC,40-49,Female,138,0.46,0.18,0.09,0.92,0.46,0.37,0.55
HC,50-59,Male,22,0.59,0.24,0.11,0.99,0.62,0.50,0.74
HC,50-59,Female,48,0.50,0.17,0.16,1.08,0.49,0.41,0.58
HC,60+,Male,5,0.58,0.48,0.19,1.39,0.50,0.26,0.74
HC,60+,Female,6,0.57,0.16,0.37,0.76,0.61,0.53,0.69
MS,18-29,Male,28,0.41,0.16,0.21,1.07,0.37,0.29,0.45
MS,18-29,Female,58,0.31,0.13,0.08,0.77,0.29,0.23,0.36
MS,30-39,Male,31,0.37,0.12,0.18,0.71,0.35,0.30,0.41
MS,30-39,Female,92,0.39,0.20,0.03,1.89,0.34,0.24,0.44
MS,40-49,Male,26,0.41,0.14,0.16,0.69,0.41,0.34,0.48
MS,40-49,Female,69,0.40,0.17,0.16,1.46,0.36,0.28,0.45
MS,50-59,Male,12,0.61,0.19,0.15,0.84,0.69,0.59,0.78
MS,50-59,Female,31,0.47,0.17,0.21,0.90,0.44,0.36,0.53
MS,60+,Male,1,0.48,N/A,0.48,0.48,0.48,nan,nan
MS,60+,Female,4,0.54,0.21,0.37,0.83,0.47,0.36,0.58
